nutrition_id,ingredient_id,ingredient_name,representative_food_name,standard_amount,energy_kcal,water_g,protein_g,fat_g,ash_g,carbohydrate_g,sugar_g,fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g
nutrition_0001,ingredient_0001,갓김치,김치,100g,37.00,86.4,3.26,0.4,2.87,7.07,2.46,3.0,103.000,0.83,49.0,328.000,720.000,0.0,0.0,0.08
nutrition_0002,ingredient_0002,고추장아찌,고추장아찌,100g,124.000,59.7,2.39,0.63,5.79,31.49,11.38,4.8,16.00,1.1,34.0,209.000,"2,026.000",0.0,0.0,0.11
nutrition_0003,ingredient_0003,깍두기,김치,100g,38.00,88.9,1.43,0.19,1.94,7.54,3.55,4.3,41.00,0.33,25.0,249.000,501.000,0.82,0.0,0.0
nutrition_0004,ingredient_0004,깻잎장아찌,깻잎장아찌,100mL,65.00,49.4,3.7,0.72,,12.9,5.28,3.9,154.000,1.28,70.0,327.000,520.000,0.0,0.0,0.15
nutrition_0005,ingredient_0005,낫또,나토,100g,188.000,,14.0,9.0,,12.0,1.0,,,,,,310.000,,0.0,1.0
nutrition_0006,ingredient_0006,단무지,단무지,100g,13.00,95.6,0.33,0.2,1.53,2.4,0.47,1.3,11.00,0.1,11.0,49.00,552.000,0.0,0.0,0.03
nutrition_0007,ingredient_0007,더덕장아찌,더덕장아찌,100g,141.000,62.0,4.47,0.89,3.77,28.9,15.38,5.7,38.00,1.1,134.0,320.000,"1,167.000",0.0,0.0,0.23
nutrition_0008,ingredient_0008,레몬청,액상차,100g,260.000,,0.0,0.0,,65.0,60.0,,,,,,0.00,,0.0,0.0
nutrition_0009,ingredient_0009,마늘장아찌,마늘장아찌,100g,113.000,68.8,2.43,0.16,3.25,25.36,15.03,2.9,7.00,0.37,29.0,69.00,"1,127.000",0.0,0.0,0.04
nutrition_0010,ingredient_0010,마늘쫑장아찌,마늘쫑장아찌,100g,118.000,66.5,1.96,0.14,4.06,27.34,13.02,5.2,21.00,0.61,19.0,105.000,"1,410.000",0.0,0.0,0.04
nutrition_0011,ingredient_0011,매실장아찌,매실장아찌,100g,243.000,36.5,1.65,0.43,3.35,58.11,38.16,3.9,30.00,0.0,35.0,232.000,"1,126.000",,0.0,0.08
nutrition_0012,ingredient_0012,매실청,농축음료/베이스,100mL,213.000,46.7,0.23,0.18,0.2,52.72,44.06,0.3,4.00,0.11,7.0,104.000,1.00,,0.0,0.01
nutrition_0013,ingredient_0013,명란젓,명태,100g,132,64.6,20.17,1.21,5.23,8.75,,,58,1.04,326.0,162,1774,210.82,0.44,0.0
nutrition_0014,ingredient_0014,무말랭이,김치,100g,131.000,63.9,2.25,0.61,4.0,29.24,16.75,7.6,87.00,1.83,43.0,266.000,"1,073.000",0.0,0.0,0.0
nutrition_0015,ingredient_0015,무장아찌,무장아찌,100g,80.00,73.3,1.47,0.76,7.7,16.76,9.62,2.4,28.00,0.01,24.0,185.000,"2,933.000",,0.13,0.04
nutrition_0016,ingredient_0016,묵은지,배추김치,100g,30.00,,1.0,0.9,,5.0,0.75,,,,,,920.000,,0.0,0.0
nutrition_0017,ingredient_0017,배추김치,배추김치,100g,38.00,88.9,1.98,0.43,2.21,6.49,2.4,2.5,43.00,0.43,49.0,334.000,551.000,0.0,0.0,0.07
nutrition_0018,ingredient_0018,블랙올리브,올리브 피클,100g,121,81.6,0.8,12.3,1.9,3.4,,2.5,68,0.8,5.0,10,640,,2.07,
nutrition_0019,ingredient_0019,생강청,과·채당절임,100g,246.000,39.1,0.1,0.65,0.2,59.9,57.61,,8.00,0.1,2.0,48.00,47.00,,0.0,0.01
