nutrition_id,ingredient_id,ingredient_name,representative_food_name,standard_amount,energy_kcal,water_g,protein_g,fat_g,ash_g,carbohydrate_g,sugar_g,fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,sodium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g
nutrition_0020,ingredient_0020,쌈무,쌈무,100g,15.00,95.0,0.54,0.03,1.33,3.1,1.46,2.3,16.00,0.16,10.0,138.000,400.000,0.0,0.0,0.01
nutrition_0021,ingredient_0021,양파장아찌,양파장아찌,100mL,63.00,69.2,0.6,0.03,,16.05,15.42,1.0,17.00,0.17,18.0,112.000,"6,050.000",0.0,0.0,0.01
nutrition_0022,ingredient_0022,열무김치,김치,100g,32.00,90.1,2.4,0.29,2.22,4.99,0.48,3.2,134.000,0.68,42.0,349.000,510.000,1.6,0.0,0.0
nutrition_0023,ingredient_0023,염장새우,젓갈/액젓,100g,69.00,,7.1,1.8,,6.0,0.5,,,,,,"7,402.000",,69.8,0.3
nutrition_0024,ingredient_0024,오이장아찌,오이장아찌,100g,14.00,94.8,0.36,0.28,2.02,2.54,1.04,2.3,21.00,0.38,8.0,18.00,740.000,0.0,0.0,0.04
nutrition_0025,ingredient_0025,유자청,액상차,100g,251.000,37.2,0.39,0.1,0.26,62.03,58.81,2.0,24.00,0.08,8.0,74.00,10.00,0.0,0.0,0.01
nutrition_0026,ingredient_0026,총각김치,김치,100g,41.00,87.5,2.02,0.2,2.39,7.89,2.68,3.1,42.00,0.67,46.0,364.000,692.000,1.65,0.0,0.0
nutrition_0027,ingredient_0027,케이퍼,절임식품,100g,19.00,,1.39,0.56,,3.06,0.56,1.7,,,,,945.000,,0.0,0.0
nutrition_0028,ingredient_0028,파김치,김치,100g,49.00,86.0,2.5,0.58,2.41,8.51,2.8,4.6,60.00,0.73,41.0,282.000,655.000,2.22,0.0,0.0
nutrition_0029,ingredient_0029,피클,단무지/피클,100g,65.00,71.6,0.5,0.0,2.83,15.0,13.0,2.1,51.00,0.25,5.0,36.00,560.000,0.0,0.0,0.0
nutrition_0030,ingredient_0030,할라피뇨,절임식품,100g,10.00,,1.1,0.0,,1.5,0.7,,,,,,560.000,,0.0,0.0
nutrition_0031,ingredient_0031,곤약면,묵,100g,10.00,,0.0,0.0,,3.0,0.0,,,,,,0.00,,0.0,0.0
nutrition_0032,ingredient_0032,당면,당면,100g,345.000,10.7,0.0,0.0,0.4,86.0,0.0,1.7,98.00,4.69,15.0,2.00,130.000,0.06,0.0,0.0
nutrition_0033,ingredient_0033,떡,떡,100g,213.000,46.4,3.71,0.37,0.72,48.8,0.09,0.7,10.00,0.14,36.0,29.00,261.000,0.0,0.0,0.16
nutrition_0034,ingredient_0034,또띠아,또띠아,100g,303.000,31.5,8.25,6.89,1.27,52.1,2.29,,14.00,0.55,75.0,95.00,421.000,0.0,0.0,1.75
nutrition_0035,ingredient_0035,마카로니,파스타,100g,380.0,10.7,12.98,1.53,0.71,74.13,2.05,2.7,24.0,1.8,167.0,195.0,7.0,0.0,0.0,0.36
nutrition_0036,ingredient_0036,만두,만두,100g,159.000,64.8,12.38,4.45,1.02,17.4,0.16,2.3,20.00,1.03,117.0,186.000,206.000,0.0,19.91,0.61
nutrition_0037,ingredient_0037,만두피,만두피,100g,260.000,,9.33,0.87,,54.0,2.67,,,,,,120.000,,,0.0
nutrition_0038,ingredient_0038,모닝빵,모닝빵,100g,314.000,29.3,9.5,7.43,1.59,52.17,7.97,2.4,30.00,0.56,98.0,115.000,489.000,0.0,40.54,3.03
nutrition_0039,ingredient_0039,바게트빵,바게트/치아바타,100g,297.000,,11.0,3.3,,55.5,1.9,,,,,,502.000,,2.9,2.1
nutrition_0040,ingredient_0040,소면,국수,100g,360.000,,10.0,1.0,,77.0,4.0,,,,,,930.000,,0.0,0.3
nutrition_0041,ingredient_0041,식빵,식빵,100g,264.000,35.2,9.34,2.6,1.97,50.91,1.56,3.5,219.000,0.76,117.0,129.000,468.000,0.0,5.57,1.47
nutrition_0042,ingredient_0042,우동사리,우동면,100g,270.000,,6.0,1.1,,59.0,1.0,,,,,,810.000,,0.0,0.2
nutrition_0043,ingredient_0043,중화면,국수,100g,287.000,,5.0,1.0,,75.0,2.0,,,,,,538.000,,0.0,0.6
nutrition_0044,ingredient_0044,쫄면,쫄면,100g,129.000,70.0,3.21,2.52,0.99,23.26,3.51,1.6,23.00,0.34,43.0,130.000,250.000,0.0,0.0,0.22
nutrition_0045,ingredient_0045,칼국수면,칼국수,100g,272.000,,7.22,0.83,,58.89,2.78,,,,,,494.000,,0.0,0.0
nutrition_0046,ingredient_0046,파스타,파스타,100g,380.000,10.7,12.98,1.53,0.71,74.13,2.05,2.7,24.00,1.8,167.0,195.000,7.00,0.0,0.0,0.36
nutrition_0047,ingredient_0047,호밀빵,호밀빵,100g,273.000,,5.91,,,,19.09,,,,,,215.000,,,0.18
nutrition_0048,ingredient_0048,겨자페이스트,기타 소스류,100g,296.000,37.0,8.01,12.7,4.93,37.36,19.5,19.4,101.000,2.05,211.0,223.000,"1,423.000",,0.0,1.59
nutrition_0049,ingredient_0049,굴소스,소스/드레싱,100g,153.000,32.9,0.0,0.0,12.48,38.67,38.67,0.0,12.00,0.26,56.0,138.000,"4,600.000",0.0,0.0,0.0
nutrition_0050,ingredient_0050,냉면육수,소스/드레싱,100g,24.00,40.7,0.17,0.0,15.84,5.52,5.17,0.3,0.00,0.0,8.0,115.000,634.000,0.0,0.0,0.0
nutrition_0051,ingredient_0051,다대기,기타 소스류,100g,200.000,,0.0,0.0,,50.0,10.0,,,,,,300.000,,0.0,0.0
nutrition_0052,ingredient_0052,다시다,복합조미식품,100g,190.000,,22.5,0.0,,24.6,7.0,,,,,,"18,505.000",,0.0,0.0
nutrition_0053,ingredient_0053,돈가스소스,소스/드레싱,100g,117.000,62.1,1.0,1.0,4.74,26.0,23.0,0.0,12.00,0.21,14.0,161.000,940.000,0.6,0.0,2.5
nutrition_0054,ingredient_0054,마요네즈,마요네즈,100g,730.000,18.6,1.0,80.0,1.48,1.0,1.0,0.6,14.00,0.41,40.0,24.00,510.000,0.0,55.0,14.0
nutrition_0055,ingredient_0055,바베큐소스,기타 소스류,100g,65.00,,2.0,2.6,,9.0,7.0,,,,,,580.000,,5.0,0.8
nutrition_0056,ingredient_0056,불닭소스,소스/드레싱,100g,255.000,34.1,3.0,1.17,3.46,58.24,23.48,,,,,,995.000,,3.79,0.28
nutrition_0057,ingredient_0057,사골육수,기타 소스류,100g,11.00,,0.27,0.16,,2.1,1.52,,,,,,553.000,,0.0,0.02
nutrition_0058,ingredient_0058,스테이크소스,소스/드레싱,100g,85.00,77.8,3.0,0.0,2.5,18.0,10.0,2.0,18.00,0.47,60.0,189.000,950.000,0.01,,0.0
nutrition_0059,ingredient_0059,우스터소스,기타 소스류,100g,62.00,78.9,0.47,0.06,5.62,14.91,14.89,0.0,72.00,0.56,9.0,176.000,"1,971.000",0.0,0.0,0.01
nutrition_0060,ingredient_0060,짜장분말,복합조미식품,100g,339.0,,11.0,3.0,,67.0,28.0,,,,,,5730.0,,3.4,1.3
nutrition_0061,ingredient_0061,쯔란,분말스프,100g,480.000,,27.1,35.3,,13.7,6.8,,,,,,548.000,,58.52,13.0
nutrition_0062,ingredient_0062,치킨스톡,기타 소스류,100g,90.00,,2.0,3.0,,14.0,4.0,,,,,,"6,360.000",,5.0,0.9
nutrition_0063,ingredient_0063,칠리소스,소스/드레싱,100g,112.000,67.3,1.8,0.1,3.9,26.3,,1.9,27.00,0.9,32.0,500.000,"1,200.000",0.0,0.0,0.02
nutrition_0064,ingredient_0064,케첩,토마토케첩,100g,90.0,,1.0,0.0,,22.0,20.0,,,,,,1150.0,,0.0,0.0
nutrition_0065,ingredient_0065,토마토소스,소스/드레싱,100g,81.0,80.4,1.52,2.4,2.25,13.43,6.59,2.7,34.0,0.74,30.0,340.0,585.0,0.0,0.0,0.36
nutrition_0066,ingredient_0066,피자소스,기타 소스류,100g,100.000,,2.0,0.0,,23.0,12.0,,,,,,970.000,,0.0,0.0
nutrition_0067,ingredient_0067,핫소스,소스/드레싱,100g,47.00,86.3,1.44,0.63,2.85,8.8,5.72,0.0,17.00,0.52,34.0,273.000,989.000,26.56,0.0,0.0
nutrition_0068,ingredient_0068,들기름,들기름,100g,920.000,0.0,0.0,99.92,0.0,0.08,0.0,0.0,0.00,0.0,0.0,0.00,0.00,0.0,0.0,8.81
nutrition_0069,ingredient_0069,식용유,콩기름(대두유),100mL,828.000,,0.0,92.0,,0.0,0.0,,,,,,0.00,,0.0,15.0
nutrition_0070,ingredient_0070,올리브유,올리브유,100mL,900.000,,0.0,100.0,,0.0,0.0,,,,,,0.00,,0.0,15.0
nutrition_0071,ingredient_0071,참기름,참기름,100g,920.000,0.0,0.0,99.84,0.03,0.13,0.0,0.0,0.00,0.0,0.0,0.00,0.00,0.0,0.0,14.89
nutrition_0072,ingredient_0072,카놀라유,유채씨유/카놀라유,100g,900.000,,0.0,100.0,,0.0,0.0,,,,,,0.00,,0.0,8.0
nutrition_0073,ingredient_0073,포도씨유,식물성유지,100g,900.000,,0.0,100.0,,0.0,0.0,,,,,,0.00,,0.0,13.0
nutrition_0074,ingredient_0074,해바라기유,해바라기씨유,100mL,900.000,,0.0,100.0,,0.0,0.0,,,,,,0.00,,0.0,12.0
nutrition_0075,ingredient_0075,현미유,미강유(현미유),100mL,900.000,,0.0,100.0,,0.0,0.0,,,,,,0.00,,0.0,22.0
nutrition_0076,ingredient_0076,간장,간장,100mL,60.00,70.6,8.0,1.0,21.01,7.0,2.0,0.4,39.00,0.66,121.0,657.000,"7,480.000",0.0,0.0,0.0
nutrition_0077,ingredient_0077,강황가루,카레,100g,331.000,10.3,6.66,3.21,5.48,74.34,3.3,17.9,125.000,24.65,291.0,"2,415.000",19.00,0.0,0.0,1.9
nutrition_0078,ingredient_0078,계피가루,향신료,100g,35.00,,4.0,0.6,,4.0,0.0,,,,,,30.00,,0.0,0.2
nutrition_0079,ingredient_0079,고추장,고추장,100g,205.000,35.7,5.0,2.0,7.5,42.0,25.0,5.2,25.00,0.97,63.0,422.000,"2,760.000",0.0,0.0,0.0
nutrition_0080,ingredient_0080,고추플레이크,고춧가루,100g,304.0,,15.07,12.2,,51.71,10.96,,,,,,25.0,,0.0,1.89
nutrition_0081,ingredient_0081,고춧가루,고춧가루,100g,319.000,12.5,13.29,8.4,5.19,60.62,17.45,37.7,79.00,4.89,342.0,"2,541.000",13.00,0.0,0.0,1.48
nutrition_0082,ingredient_0082,꿀,꿀,100g,313,14.6,0.28,0.01,0.29,84.83,72.67,0.0,9,0.14,7.0,142,1,0.0,0.01,0.0
nutrition_0083,ingredient_0083,된장,된장,100g,180.000,47.8,13.0,6.0,12.28,18.0,18.0,10.3,79.00,2.07,218.0,539.000,"4,480.000",11.2,0.0,0.0
nutrition_0084,ingredient_0084,로즈마리,로즈마리,100g,331.000,9.31,4.88,15.22,6.53,64.06,,42.6,"1,280.000",29.25,70.0,955.000,50.00,0.0,0.0,7.37
nutrition_0085,ingredient_0085,물엿,물엿,100g,321.000,16.9,0.02,0.0,0.05,83.03,22.06,0.0,0.00,0.0,0.0,0.00,0.00,0.0,0.0,0.0
nutrition_0086,ingredient_0086,바질,바질,100g,32,90.1,2.43,0.71,1.22,5.56,0.8,2.6,238,0.64,69.0,340,3,0.0,0.08,0.0
nutrition_0087,ingredient_0087,생강가루,천연향신료,100g,367.000,6.8,12.55,3.29,5.6,71.74,2.27,0.1,118.000,15.52,210.0,"2,432.000",32.00,0.0,0.0,0.33
nutrition_0088,ingredient_0088,설탕,설탕,100g,386.000,0.2,0.09,0.0,0.11,99.58,95.95,0.0,15.00,0.33,2.0,8.00,2.00,0.0,0.0,0.0
nutrition_0089,ingredient_0089,식초,식초,100g,165.000,58.6,0.62,0.04,0.36,40.42,33.67,0.0,17.00,0.8,45.0,206.000,25.00,0.0,0.0,0.01
nutrition_0090,ingredient_0090,쌈장,쌈장,100mL,142.000,31.2,6.5,4.55,,20.13,8.46,5.2,54.00,1.31,107.0,360.000,"2,335.000",0.0,0.0,0.75
nutrition_0091,ingredient_0091,알룰로스,시럽,100g,12.00,,0.0,0.0,,72.0,0.0,,,,,,0.00,,0.0,0.0
nutrition_0092,ingredient_0092,애플민트,아이스밀크,100mL,109.000,,3.38,2.84,,17.58,13.05,,,,,,17.00,,31.84,1.83
nutrition_0093,ingredient_0093,양조간장,메주,100mL,79.00,,7.0,0.5,,12.0,12.0,,,,,,"6,270.000",,0.0,0.5
nutrition_0094,ingredient_0094,오레가노,오레가노,100g,265.000,9.93,9.0,4.28,7.87,68.92,4.09,42.5,"1,597.000",36.8,148.0,"1,260.000",25.00,0.0,0.0,1.55
nutrition_0095,ingredient_0095,올리고당,당류가공품,100g,310.000,,0.0,1.3,,80.0,34.0,11.0,,,,,20.00,,,0.0
nutrition_0096,ingredient_0096,와사비,향신료,100g,"1,950.000",,18.0,59.0,,337.0,38.0,,,,,,"6,320.000",,10.0,4.5
nutrition_0097,ingredient_0097,월계수잎,월계수,100g,313.000,5.44,7.61,8.36,3.62,74.97,,26.3,834.000,43.0,113.0,529.000,23.00,0.0,0.0,2.28
nutrition_0098,ingredient_0098,조청,물엿,100g,326.000,10.9,0.53,0.24,0.43,87.9,49.91,0.0,52.00,0.15,37.0,127.000,21.00,0.0,0.0,0.0
nutrition_0099,ingredient_0099,천일염,소금,100g,20.00,3.2,0.03,0.0,91.81,4.95,0.0,0.0,128.000,0.69,0.0,437.000,"33,811.000",0.0,0.0,0.0
nutrition_0100,ingredient_0100,청국장,청국장,100g,221.000,51.6,20.79,9.61,5.19,12.8,1.86,,137.000,4.63,410.0,965.000,"1,135.000",,0.0,1.45
nutrition_0101,ingredient_0101,초고추장,혼합장,100g,205.0,35.5,4.0,1.5,5.76,44.0,35.0,2.4,19.0,1.27,82.0,247.0,1650.0,0.0,0.0,0.0
nutrition_0102,ingredient_0102,춘장,춘장,100g,155.000,44.0,8.0,1.3,9.58,28.0,16.0,7.9,54.00,1.78,156.0,384.000,"5,190.000",0.0,0.0,0.0
nutrition_0103,ingredient_0103,타임,타임,100g,342.000,9.8,6.5,5.2,8.7,69.8,,,"1,700.000",110.0,85.0,980.000,13.00,0.0,0.0,1.91
nutrition_0104,ingredient_0104,파슬리,파슬리,100g,20.00,92.6,2.36,0.26,1.45,3.37,0.44,2.2,149.000,2.8,56.0,638.000,10.00,0.0,0.0,0.06
nutrition_0105,ingredient_0105,홀그레인,향신료,100g,160.000,,8.0,11.0,,3.0,2.0,,,,,,"2,170.000",,5.0,0.7
nutrition_0106,ingredient_0106,후추,후추,100g,362.000,11.5,12.87,5.0,4.34,66.33,0.65,25.6,391.000,12.97,151.0,"1,366.000",6.00,0.0,0.0,0.18
nutrition_0107,ingredient_0107,두유,두유,100mL,47.00,89.0,2.11,2.11,0.63,5.26,4.21,0.9,105.000,0.56,45.0,152.000,61.00,9.79,1.58,0.0
nutrition_0108,ingredient_0108,레몬즙,과·채주스,100mL,35.00,,0.2,0.1,,8.3,2.9,,,,,,2.00,,0.0,0.0
nutrition_0109,ingredient_0109,맥주,맥주,100g,45.00,91.6,0.4,0.0,0.2,3.6,,0.2,3.00,0.1,33.0,55.00,3.00,0.0,0.0,0.0
nutrition_0110,ingredient_0110,배즙,액상차,100mL,48.00,,0.0,0.0,,12.0,6.0,,,,,,0.00,,0.0,0.0
nutrition_0111,ingredient_0111,사과즙,과·채주스,100mL,63.00,,0.45,0.0,,13.64,13.18,,,,,,0.00,,0.0,0.0
nutrition_0112,ingredient_0112,사이다,탄산음료,100mL,43.00,90.0,0.0,0.0,0.02,10.8,10.8,0.0,2.00,0.01,0.0,0.00,2.00,0.0,0.0,0.0
nutrition_0113,ingredient_0113,생강즙,과·채주스,100mL,6.00,,0.1,0.1,,1.2,0.5,,,,,,3.00,,0.0,0.0
nutrition_0114,ingredient_0114,소주,소주,100g,172.000,75.7,0.01,0.02,0.03,0.0,0.0,0.0,0.00,0.0,0.0,0.00,1.00,0.0,0.0,0.0
nutrition_0115,ingredient_0115,청주,청주,100g,132.000,79.9,0.41,0.0,0.05,4.24,3.11,0.0,4.00,0.02,9.0,9.00,3.00,0.0,0.0,0.0
nutrition_0116,ingredient_0116,커피분말,원두/원두분말,100g,400.0,,15.0,15.0,,60.0,10.0,,2.0,,1.0,65.0,1.0,,0.0,0.0
nutrition_0117,ingredient_0117,콜라,탄산음료,100mL,38.00,90.5,0.0,0.0,0.04,9.46,9.03,0.0,1.00,0.02,16.0,2.00,2.00,,0.0,0.0
nutrition_0118,ingredient_0118,탄산수,탄산수,100g,0.00,100.0,0.0,0.0,0.0,0.04,0.0,0.0,1.00,0.0,0.0,0.00,1.00,,0.0,0.0
nutrition_0119,ingredient_0119,화이트와인,,100g,237.000,66.1,0.0,0.0,0.0,0.1,,0.0,0.00,0.0,0.0,0.00,3.00,0.0,0.0,
nutrition_0120,ingredient_0120,곤약,묵,100g,10.00,,0.0,0.0,,3.0,0.0,,,,,,0.00,,0.0,0.0
nutrition_0121,ingredient_0121,그래놀라,시리얼,100g,391.000,,10.45,25.91,,29.09,7.73,,,,,,69.00,,0.0,0.45
nutrition_0122,ingredient_0122,녹말,전분,100g,334.000,17.0,0.07,0.02,0.21,82.7,0.05,0.0,4.00,0.09,57.0,44.00,22.00,0.0,0.0,0.01
nutrition_0123,ingredient_0123,도토리묵,도토리묵,100g,47.00,88.1,0.33,0.11,0.19,11.23,0.0,,15.00,0.23,3.0,12.00,76.00,0.0,0.0,0.03
nutrition_0124,ingredient_0124,두부,두부,100g,97.00,81.2,9.62,4.63,0.8,3.75,0.0,2.9,64.00,1.54,158.0,132.000,1.00,0.0,0.0,0.7
nutrition_0125,ingredient_0125,들깨가루,기타 농산가공품,100g,894.000,,0.0,99.0,,1.0,0.0,,,,,,0.00,,0.0,11.0
nutrition_0126,ingredient_0126,땅콩버터,땅콩버터,100g,611.000,,22.0,47.0,,25.0,12.5,,,,,,390.000,,0.0,8.0
nutrition_0127,ingredient_0127,메밀가루,기타 농산가공품,100g,363.000,,12.0,3.0,,72.0,0.0,,,,,,0.00,,0.0,0.0
nutrition_0128,ingredient_0128,미숫가루,보리,100g,412,1.8,14.36,5.3,1.82,76.69,1.16,12.8,61,4.04,343.0,552,5,0.0,1.06,0.02
nutrition_0129,ingredient_0129,밀가루,밀가루,100g,355.000,,13.0,1.7,,72.0,2.37,,,,,,1.00,,0.0,0.57
nutrition_0130,ingredient_0130,부침가루,부침가루/튀김가루/믹스,100g,350.000,11.5,9.0,1.3,2.2,75.0,4.0,2.5,32.00,0.58,154.0,140.000,910.000,0.01,0.0,0.0
nutrition_0131,ingredient_0131,빵가루,빵가루,100g,392.000,7.8,11.95,2.05,1.16,77.04,4.74,4.2,21.00,0.77,105.0,134.000,306.000,0.0,0.0,0.76
nutrition_0132,ingredient_0132,스위트콘,기타 농산가공품,100g,80.00,,2.0,1.7,,13.0,5.0,2.0,,,,,213.000,,0.0,0.0
nutrition_0133,ingredient_0133,앙금,기타 조림,100g,268.000,,5.0,0.4,,61.0,8.0,,,,,,53.00,,0.0,0.1
nutrition_0134,ingredient_0134,옥수수전분,기타 농산가공품,100g,370.000,,0.0,0.8,,90.0,0.0,,,,,,5.00,,0.0,0.0
nutrition_0135,ingredient_0135,유부,유부,100g,450.000,29.3,26.11,34.23,2.44,7.93,0.42,1.5,584.000,4.6,413.0,128.000,7.00,,0.0,5.34
nutrition_0136,ingredient_0136,잼,잼,100g,225.000,42.8,0.3,0.1,1.1,55.7,,,5.00,0.7,6.0,123.000,13.00,,,
nutrition_0137,ingredient_0137,중력분,밀가루,100g,355.000,,13.0,1.7,,72.0,2.37,,,,,,1.00,,0.0,0.57
nutrition_0138,ingredient_0138,찹쌀가루,기타 농산가공품,100g,347.000,,5.0,1.2,,79.0,0.0,,,,,,0.00,,0.0,0.0
nutrition_0139,ingredient_0139,콩가루,두류가공품,100g,458.000,,40.0,19.0,,32.0,0.32,,,,,,12.00,,0.0,0.0
nutrition_0140,ingredient_0140,튀김가루,부침가루/튀김가루/믹스,100g,350.000,10.7,7.0,1.3,2.87,77.0,1.0,2.2,72.00,0.89,330.0,137.000,690.000,0.0,0.0,0.0
nutrition_0141,ingredient_0141,감자,감자,100g,70,81.1,1.93,0.03,0.87,16.07,0.0,1.7,6,0.4,62.0,335,1,0.0,0.02,0.0
nutrition_0142,ingredient_0142,고구마,고구마,100g,154,60.6,1.01,0.11,1.09,37.22,9.83,2.7,15,0.45,49.0,370,7,0.0,0.05,0.0
nutrition_0143,ingredient_0143,귀리,귀리,100g,197.000,55.5,5.01,4.7,0.72,34.08,0.4,4.9,26.00,2.6,172.0,195.000,1.00,0.0,0.0,0.77
nutrition_0144,ingredient_0144,기장,기장,100g,136.000,67.5,4.76,1.24,0.48,25.99,0.22,2.1,5.00,1.39,107.0,83.00,1.00,0.0,0.0,0.2
nutrition_0145,ingredient_0145,메밀,메밀,100g,363.000,13.1,13.64,3.38,2.04,67.84,0.3,6.3,21.00,2.78,453.0,444.000,1.00,0.0,0.0,0.71
nutrition_0146,ingredient_0146,보리,보리,100g,357.000,9.5,11.16,1.83,1.03,76.48,0.3,12.8,35.00,2.44,209.0,287.000,20.00,0.0,0.0,0.56
nutrition_0147,ingredient_0147,수수,수수,100g,374.000,10.2,11.67,3.01,1.51,73.63,0.46,,8.00,2.84,302.0,367.000,6.00,0.0,0.0,0.44
nutrition_0148,ingredient_0148,쌀,멥쌀,100g,366.0,13.0,6.81,1.05,0.4,78.74,0.5,1.9,7.0,0.24,101.0,88.0,2.0,0.0,0.0,0.3
nutrition_0149,ingredient_0149,오곡,강냉이/팝콘,100g,402.000,,8.55,3.35,,84.53,0.56,,,,,,97.00,,0.0,0.59
nutrition_0150,ingredient_0150,오트밀,비스킷/쿠키/크래커,100g,510.000,,5.91,24.43,,66.52,24.78,,,,,,39.00,,0.43,19.22
nutrition_0151,ingredient_0151,옥수수,옥수수,100g,118,70.4,4.01,1.5,0.73,23.39,4.91,3.1,3,0.75,105.0,261,0,0.0,0.25,0.01
nutrition_0152,ingredient_0152,율무,율무,100g,172.000,59.7,7.1,2.35,0.53,30.34,0.15,1.9,6.00,2.45,169.0,105.000,2.00,0.0,0.0,0.32
nutrition_0153,ingredient_0153,조,조,100g,373.000,11.2,11.48,3.91,1.68,71.7,0.71,6.0,23.00,3.45,335.0,304.000,6.00,0.0,0.0,0.69
nutrition_0154,ingredient_0154,찹쌀,찹쌀,100g,361.000,13.1,7.09,1.0,1.48,77.37,0.09,1.2,586.000,1.45,114.0,112.000,17.00,0.0,0.0,0.25
nutrition_0155,ingredient_0155,현미,멥쌀,100g,357.0,13.3,7.33,2.23,1.25,75.92,1.18,3.9,14.0,1.05,295.0,248.0,3.0,0.0,0.0,0.55
nutrition_0156,ingredient_0156,흑미,멥쌀,100g,357.000,13.3,7.7,2.21,1.27,75.56,0.94,7.3,17.00,0.91,309.0,284.000,2.00,0.0,0.0,0.5
nutrition_0157,ingredient_0157,건대추,대추,100g,105.000,70.2,1.45,0.1,0.69,27.56,24.34,3.0,14.00,0.28,42.0,310.000,1.00,0.0,0.0,0.03
nutrition_0158,ingredient_0158,건살구,과일가공품,100g,525.000,,5.0,0.6,,125.0,80.0,,,,,,30.00,,0.0,0.4
nutrition_0159,ingredient_0159,건포도,과일가공품,100g,330.000,,3.0,1.0,,77.0,64.0,,,,,,25.00,,0.0,0.0
nutrition_0160,ingredient_0160,귤,귤,100g,39.0,89.1,0.53,0.1,0.19,10.04,7.99,1.6,13.0,0.12,12.0,101.0,2.0,0.0,0.0,0.02
nutrition_0161,ingredient_0161,단감,감,100g,57,84.1,0.38,0.12,0.32,15.13,11.42,1.9,8,0.08,19.0,157,1,0.0,0.02,0.0
nutrition_0162,ingredient_0162,대추,대추,100g,105.000,70.2,1.45,0.1,0.69,27.56,24.34,3.0,14.00,0.28,42.0,310.000,1.00,0.0,0.0,0.03
