alias_id,name
alias_0001,갓김치
alias_0002,장아찌
alias_0003,고추장아찌
alias_0004,깍두기
alias_0005,깻잎장아찌
alias_0006,Bacillus natto
alias_0007,낫또
alias_0008,단무지
alias_0009,더덕장아찌
alias_0010,레몬청
alias_0011,마늘장아찌
alias_0012,마늘쫑장아찌
alias_0013,매실장아찌
alias_0014,매실액
alias_0015,매실청
alias_0016,매화나무
alias_0017,명란
alias_0018,명란젓
alias_0019,무말랭이
alias_0020,무장아찌
alias_0021,묵은지
alias_0022,배추김치
alias_0023,블랙올리브
alias_0024,건강
alias_0025,생강청
alias_0026,글리코시드과일무
alias_0027,무쌈
alias_0028,무우
alias_0029,수박무
alias_0030,쌈무
alias_0031,양파장아찌
alias_0032,열무김치
alias_0033,까나리액젓
alias_0034,멸치액젓
alias_0035,새우젓
alias_0036,액젓
alias_0037,염장새우
alias_0038,참치액
alias_0039,참치액젓
alias_0040,피쉬소스
alias_0041,젓갈
alias_0042,액젓 / 젓갈
alias_0043,오이장아찌
alias_0044,산유자나무
alias_0045,유자(柚子)
alias_0046,유자청
alias_0047,총각김치
alias_0048,케이퍼
alias_0049,케이퍼열매
alias_0050,파김치
alias_0051,피클
alias_0052,할라피뇨
alias_0053,곤약면
alias_0054,당면
alias_0055,불린당면
alias_0056,가래떡
alias_0057,떡
alias_0058,떡국떡
alias_0059,떡볶이떡
alias_0060,밀떡
alias_0061,불린떡
alias_0062,쌀떡
alias_0063,조랭이떡
alias_0064,치즈떡
alias_0065,또띠아
alias_0066,토르티야
alias_0067,또띠아 / 토르티야
alias_0068,마카로니
alias_0069,만두
alias_0070,만두피
alias_0071,모닝빵
alias_0072,바게트
alias_0073,바게트빵
alias_0074,소면
alias_0075,식빵
alias_0076,호밀식빵
alias_0077,사누끼면
alias_0078,생우동
alias_0079,우동면
alias_0080,우동사리
alias_0081,중화면
alias_0082,호화건면
alias_0083,쫄면
alias_0084,칼국수면
alias_0085,스파게티
alias_0086,파스타
alias_0087,파스타면
alias_0088,페투치네
alias_0089,푸실리
alias_0090,호밀빵
alias_0091,겨자페이스트
alias_0092,디종머스터드
alias_0093,머스타드
alias_0094,머스터드
alias_0095,굴소스
alias_0096,냉면육수
alias_0097,다대기
alias_0098,MSG
alias_0099,다시다
alias_0100,소고기다시다
alias_0101,데리야끼소스
alias_0102,돈가스소스
alias_0103,마요네즈
alias_0104,바베큐소스
alias_0105,불닭소스
alias_0106,Bovis Caro)
alias_0107,Bovis Jecur)
alias_0108,Bovis Lac)
alias_0109,사골육수
alias_0110,쇠고기
alias_0111,우 (牛
alias_0112,우간 (牛肝
alias_0113,우유 (牛乳
alias_0114,우육(牛肉)
alias_0115,스테이크소스
alias_0116,우스터소스
alias_0117,짜장가루
alias_0118,짜장분말
alias_0119,규민
alias_0120,쯔란
alias_0121,커민
alias_0122,큐민
alias_0123,큐민분
alias_0124,스톡
alias_0125,치킨스톡
alias_0126,칠리소스
alias_0127,케찹
alias_0128,케첩
alias_0129,토마토소스
alias_0130,피자소스
alias_0131,핫소스
alias_0132,들기름
alias_0133,식용유
alias_0134,올리브유
alias_0135,참기름
alias_0136,카놀라유
alias_0137,포도씨유
alias_0138,해바라기유
alias_0139,현미유
alias_0140,간장
alias_0141,쯔유
alias_0142,혼쯔유
alias_0143,강황가루
alias_0144,심황
alias_0145,우콘
alias_0146,카레
alias_0147,카레가루
alias_0148,계피
alias_0149,계피가루
alias_0150,시나몬
alias_0151,고추장
alias_0152,고추플레이크
alias_0153,페퍼론치노
alias_0154,페페론치노
