guide_id,ingredient_id,ingredient_name,type,content
guide_0001,ingredient_0025,유자청,보관,"껍질이 있는 채로 신문지에 싸서 냉장 보관한다.

비타민 C가 풍부한 유자는 철이나 구리가 함께 있으면 산화가 촉진되므로 금속 용기보다는 유리 용기에 보관하는 것이 좋다."
guide_0002,ingredient_0025,유자청,손질,"흐르는 물에 깨끗이 씻어 이용하며, 유자에 풍부한 비타민 C는 빛이나 열에 쉽게 파괴되므로 열을 가하지 않고 먹는 것이 좋다."
guide_0003,ingredient_0025,유자청,신선도체크,상처가 없고 껍질이 단단하며 울퉁불퉁하고 향과 색이 짙은 것을 구입한다.
guide_0004,ingredient_0084,로즈마리,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0005,ingredient_0084,로즈마리,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0006,ingredient_0084,로즈마리,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0007,ingredient_0084,로즈마리,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0008,ingredient_0086,바질,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0009,ingredient_0086,바질,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0010,ingredient_0086,바질,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0011,ingredient_0086,바질,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0012,ingredient_0092,애플민트,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0013,ingredient_0092,애플민트,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0014,ingredient_0092,애플민트,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0015,ingredient_0092,애플민트,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0016,ingredient_0094,오레가노,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0017,ingredient_0094,오레가노,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0018,ingredient_0094,오레가노,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0019,ingredient_0094,오레가노,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0020,ingredient_0100,청국장,보관,적정 보관 온도는 18~22℃로 통풍이 잘되고 서늘한 상온에 보관한다.
guide_0021,ingredient_0100,청국장,손질,"깨끗이 씻은 콩을 큰 볼에 넣고 콩이 잠길 만큼의 넉넉한 물을 부어 충분히 불린 뒤 사용한다. 급히 불려야 할 경우 따뜻한 물에 불려 시간을 단축할 수 있다. 불린 콩으로 두유, 두부, 콩국수 국물 등을 만들 수 있다."
guide_0022,ingredient_0100,청국장,세척,"조리 전 이물질을 골라내고 물을 여러 번 갈아가며 씻는다.

불림이 필요한 경우에는 세척 후 깨끗한 물에 불려 사용한다."
guide_0023,ingredient_0100,청국장,신선도체크,"대두는 색이 노랗고 윤기가 많으며 타원형인 것이 좋다. 껍질이 얇고 깨끗하며 병들거나 가로로 잘린 낱알이 섞여 있지 않은 것을 골라야 한다. 이물질이 없는지, 낱알의 굵기가 고른지 확인 후 구매한다.

국산 대두는 배꼽 속 눈 모양이 회색, 미색, 황색이며 미국산은 검은색, 중국산은 희미한 흔적으로 나타난다. 따라서 대두를 구입할 때 꼼꼼히 비교해 선택하는 것이 좋다."
guide_0024,ingredient_0103,타임,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0025,ingredient_0103,타임,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0026,ingredient_0103,타임,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0027,ingredient_0103,타임,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0028,ingredient_0104,파슬리,보관,물기를 제거한 뒤 키친타월이나 신문지로 감싸 밀폐용기 또는 비닐팩에 넣어 냉장 보관한다.
guide_0029,ingredient_0104,파슬리,손질,"시든 잎과 상한 부분을 제거하고, 잎 사이의 흙이나 이물질을 털어낸 뒤 용도에 맞게 다듬는다."
guide_0030,ingredient_0104,파슬리,세척,물에 5분 정도 담근 후 흐르는 물에 30초 정도 씻는다.
guide_0031,ingredient_0104,파슬리,신선도체크,"잎이 선명하고 탄력이 있으며 무름, 갈변, 시든 냄새가 없는지 확인한다."
guide_0032,ingredient_0129,밀가루,보관,습기와 직사광선을 피해 밀폐하여 서늘한 곳에 보관한다.
guide_0033,ingredient_0129,밀가루,손질,덩어리나 이물질이 있으면 체에 내려 사용한다.
guide_0034,ingredient_0129,밀가루,세척,세척하지 않는다.
guide_0035,ingredient_0129,밀가루,신선도체크,"습기, 뭉침, 곰팡이, 이취, 벌레 발생 여부를 확인한다."
