source_id,name,url
source_0001,식품의약품안전처,
source_0002,농진청('16),
source_0003,농진청('15),
source_0004,국립수산과학원(표준수산물성분표),
source_0005,농진청(’22),
source_0006,농촌진흥청(국가표준식품성분표),
source_0007,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=141&menuId=PS03599
source_0008,농진청('19),
source_0009,JAPAN(’20),
source_0010,농진청('14),
source_0011,기존 가이드 유형 확장 (참조: 애플민트) | 원출처: 기존 식재료 가이드 유형 확장,
source_0012,USDA(’18),
source_0013,기존 식재료 가이드 유형 확장,
source_0014,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=19&menuId=PS03599
source_0015,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621
source_0016,농진청(’21),
source_0017,농진청(’23),
source_0018,농진청('18),
source_0019,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=9&menuId=PS03599
source_0020,농진청('02),
source_0021,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=66&menuId=PS03599
source_0022,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=143&menuId=PS03599/view?fd_se=286&fd_snn=91&menuId=PS03599
source_0023,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view.do?fd_se=286&fd_snn=50&menuId=PS03599
source_0024,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=104&menuId=PS03599
source_0025,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=137&menuId=PS03599
source_0026,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=80&menuId=PS03599/view?fd_se=286&fd_snn=33&menuId=PS03599
source_0027,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=57&menuId=PS03599
source_0028,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=125&menuId=PS03599
source_0029,대푯값,
source_0030,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=8&menuId=PS03599
source_0031,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=85&menuId=PS03599
source_0032,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=112&menuId=PS03599
source_0033,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=25&menuId=PS03599
source_0034,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=11&menuId=PS03599
source_0035,농진청('24),
source_0036,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=130&menuId=PS03599
source_0037,기존 가이드 유형 확장 (참조: 흑미) | 원출처: 국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=49&menuId=PS03599
source_0038,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=49&menuId=PS03599
source_0039,농진청(’20),
source_0040,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=16&menuId=PS03599
source_0041,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=15&menuId=PS03599
source_0042,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=144&menuId=PS03599/view?fd_se=286&fd_snn=13&menuId=PS03599
source_0043,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=132&menuId=PS03599/view?fd_se=286&fd_snn=1&menuId=PS03599
source_0044,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=135&menuId=PS03599
source_0045,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=20&menuId=PS03599
source_0046,농진청('08),
source_0047,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=97&menuId=PS03599
source_0048,농진청('10),
source_0049,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=148&menuId=PS03599
source_0050,식약처('96),
source_0051,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=106&menuId=PS03599
source_0052,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view?fd_se=286&fd_snn=107&menuId=PS03599
source_0053,국립식량과학원 이달의 식재료,https://www.nics.go.kr/food/kfi/foodMonth/view.do?fd_se=286&fd_snn=81&menuId=PS03599
