영양DB대분류,영양DB중분류,영양DB소분류,영양식품코드,영양식품명,영양DB그룹명,영양식품세분류명,원재료명,원재료명이명,기존표시명,분류기준,데이터출처구분,제철시기(월),보관,손질,세척,신선도체크,대표식품명,영양성분기준량,에너지_kcal,수분_g,단백질_g,지방_g,회분_g,탄수화물_g,당류_g,식이섬유_g,칼슘_mg,철_mg,인_mg,칼륨_mg,나트륨_mg,콜레스테롤_mg,포화지방산_g,트랜스지방산_g,보관출처명,보관출처URL,손질출처명,손질출처URL,세척출처명,세척출처URL,신선도출처명,신선도출처URL,영양출처명,제철시기출처명,제철시기출처URL
절임류 또는 조림류,김치류,김치,P114-101010200-F001-000,갓김치,가공식품,,갓김치,갓김치,갓김치,가공식품류,영양+가이드,"10

12","가정에서 단기간 보관할 경우는 냉장고에 신문지 등에 잘 싸서 보관한다. 파가 물에 닿았을 경우는 빨리 이용하며, 남은 것은 잘게 썰어서 밀폐용기에 넣어 냉장 또는 냉동 보관하면 이용하는 데 편리하다. 오래 보관할 필요가 있을 경우에는 햇빛이 들지 않는 화분 등에 묻어 두면 어느 정도 보관이 가능하다. 이때 파는 줄기가 굵은 것이 좋다.

무를 오랫동안 저장하려면 4~5℃가 적합하다. 저장할 때 잎이 뿌리의 수분을 빼앗아 바람이 들 수 있으므로 잎을 잘라내고 흙이 묻은 상태로 랩이나 신문지에 싸서 바람이 잘 통하고 그늘진 곳에 저장하면 5~7일 정도 보관할 수 있다.","우선 뿌리에 묻은 흙을 털어낸 다음, 뿌리 밑바닥의 까맣고 단단한 부분을 떼어낸다. 그 후 물에 잠깐 담가 미세 흙먼지를 불려둔 후 흐르는 물에 씻으면 깨끗이 씻을 수 있다. 특히 파뿌리를 말려서 차를 만들거나 육수를 낼 때 사용하려면 더욱 깨끗이 씻는다. 조리에 사용할 때는 뿌리 부분을 자른 다음 잎 부분의 노랗게 시든 부분과 손상된 부분을 떼어내고 용도에 맞게 다듬어 사용한다. 김치를 담글 때는 잎 부분에 공기가 들어갈 수 있도록 끝부분을 살짝 잘라내어야 양념이 골고루 배어 맛있다.

무는 부위에 따라 맛이 다르므로 깨끗이 씻은 후 용도에 맞게 부위를 선택해 사용한다. 크고 묵직해 통째로 들고 손질하기 힘들면 쓸 부분만 토막 내어 사용한다.",,"잎의 짙은 녹색이 균일하며 연하고 깨끗해야 하며 줄기 부분이 여러 갈래로 가늘게 나누어지지 않은 것을 고르는 것이 좋다. 아래 흰 부분이 윤기가 있고 크기가 균일한 것이 좋으며 보기에 힘차게 뻗은 것이 신선한 쪽파이다.

맛있는 김장 무는 모양이 곧고 잔뿌리가 없으며 표면이 하얗고 매끄러운 것이 좋다. 들었을 때 묵직하고 살짝 눌렀을 때 단단함이 느껴져야 한다. 무 윗부분에 녹색이 전체 크기의 1/3 정도라면 잘 자라 좋은 영양소가 듬뿍 담긴 무다. 최근 육성된 소형 무는 일반 김장 무보다 작지만 조직이 치밀해 겨울철 별미인 동치미를 담그면 더 아삭하게 즐길 수 있다.",김치,100g,37.00,86.4,3.26,0.4,2.87,7.07,2.46,3.0,103.000,0.83,49.0,328.000,720.000,0.0,0.0,0.08,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D317-692000000-0001,고추장아찌,음식,해당없음,고추장아찌,장아찌 / 고추장아찌,고추장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,고추장아찌,100g,124.000,59.7,2.39,0.63,5.79,31.49,11.38,4.8,16.00,1.1,34.0,209.000,"2,026.000",0.0,0.0,0.11,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,농진청('16),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
두부류 또는 묵류,해당없음(두부류 또는 묵류),묵류,P106-004000400-0003,곤약,가공식품,해당없음,곤약,곤약 / 구약 / 마우 / 실곤약,곤약,가공식품류,영양만 있음,,,,,,묵,100g,10.00,,0.0,0.0,,3.0,0.0,,,,,,0.00,,0.0,0.0,,,,,,,,,식품의약품안전처,,
절임류 또는 조림류,김치류,김치,P114-101010200-F003-000,깍두기,가공식품,,깍두기,깍두기,깍두기,가공식품류,영양+가이드,"10

12","가정에서 단기간 보관할 경우는 냉장고에 신문지 등에 잘 싸서 보관한다. 파가 물에 닿았을 경우는 빨리 이용하며, 남은 것은 잘게 썰어서 밀폐용기에 넣어 냉장 또는 냉동 보관하면 이용하는 데 편리하다. 오래 보관할 필요가 있을 경우에는 햇빛이 들지 않는 화분 등에 묻어 두면 어느 정도 보관이 가능하다. 이때 파는 줄기가 굵은 것이 좋다.

무를 오랫동안 저장하려면 4~5℃가 적합하다. 저장할 때 잎이 뿌리의 수분을 빼앗아 바람이 들 수 있으므로 잎을 잘라내고 흙이 묻은 상태로 랩이나 신문지에 싸서 바람이 잘 통하고 그늘진 곳에 저장하면 5~7일 정도 보관할 수 있다.","우선 뿌리에 묻은 흙을 털어낸 다음, 뿌리 밑바닥의 까맣고 단단한 부분을 떼어낸다. 그 후 물에 잠깐 담가 미세 흙먼지를 불려둔 후 흐르는 물에 씻으면 깨끗이 씻을 수 있다. 특히 파뿌리를 말려서 차를 만들거나 육수를 낼 때 사용하려면 더욱 깨끗이 씻는다. 조리에 사용할 때는 뿌리 부분을 자른 다음 잎 부분의 노랗게 시든 부분과 손상된 부분을 떼어내고 용도에 맞게 다듬어 사용한다. 김치를 담글 때는 잎 부분에 공기가 들어갈 수 있도록 끝부분을 살짝 잘라내어야 양념이 골고루 배어 맛있다.

무는 부위에 따라 맛이 다르므로 깨끗이 씻은 후 용도에 맞게 부위를 선택해 사용한다. 크고 묵직해 통째로 들고 손질하기 힘들면 쓸 부분만 토막 내어 사용한다.",,"잎의 짙은 녹색이 균일하며 연하고 깨끗해야 하며 줄기 부분이 여러 갈래로 가늘게 나누어지지 않은 것을 고르는 것이 좋다. 아래 흰 부분이 윤기가 있고 크기가 균일한 것이 좋으며 보기에 힘차게 뻗은 것이 신선한 쪽파이다.

맛있는 김장 무는 모양이 곧고 잔뿌리가 없으며 표면이 하얗고 매끄러운 것이 좋다. 들었을 때 묵직하고 살짝 눌렀을 때 단단함이 느껴져야 한다. 무 윗부분에 녹색이 전체 크기의 1/3 정도라면 잘 자라 좋은 영양소가 듬뿍 담긴 무다. 최근 육성된 소형 무는 일반 김장 무보다 작지만 조직이 치밀해 겨울철 별미인 동치미를 담그면 더 아삭하게 즐길 수 있다.",김치,100g,38.00,88.9,1.43,0.19,1.94,7.54,3.55,4.3,41.00,0.33,25.0,249.000,501.000,0.82,0.0,0.0,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=128&menuId=PS03599 / view?fd_se=286&fd_snn=147&menuId=PS03599,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D717-705000000-0001,깻잎장아찌,음식,해당없음,깻잎장아찌,장아찌 / 깻잎장아찌,깻잎장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,깻잎장아찌,100mL,65.00,49.4,3.7,0.72,,12.9,5.28,3.9,154.000,1.28,70.0,327.000,520.000,0.0,0.0,0.15,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
장아찌·절임류,해당없음,해당없음,D117-694000000-0001,단무지,음식,해당없음,단무지,단무지,단무지,가공식품류,영양만 있음,,,,,,단무지,100g,13.00,95.6,0.33,0.2,1.53,2.4,0.47,1.3,11.00,0.1,11.0,49.00,552.000,0.0,0.0,0.03,,,,,,,,,식품의약품안전처,,
장아찌·절임류,해당없음,해당없음,D117-695000000-0001,더덕장아찌,음식,해당없음,더덕장아찌,장아찌 / 더덕장아찌,더덕장아찌,가공식품류,영양+가이드,1,"수분을 많이 함유한 재료는 소금에 절이거나 끓는 물에 데치거나 햇볕에 말리는 등의 전처리를 하여 자체 내의 수분을 일부 제거한 후 장이나 젓갈 등에 넣어야 장기간 보존할 수 있다. 장에 재료를 넣을 때 깻잎이나 콩잎, 뽕잎은 10여 장씩 묶어서 넣고 고추, 고춧잎, 대추, 더덕, 도라지, 김, 묵, 두부, 미역, 파래 등은 베주머니나 망 속에 넣어서 장에 박아야 꺼내 먹을 때 편리하다. 간장을 이용한 장아찌는 재료에서 수분이 배출되므로 담근 다음 며칠 지나면 간장을 따라 내어 끓여서 수분을 증발시킨 후 식혀서 다시 붓기를 2~3차례 계속하고, 간장 위로 장아찌가 떠오르지 않도록 무거운 것으로 눌러야 한다. 장아찌는 항아리에 담아 두고 필요할 때마다 조금씩 꺼내 먹으며, 장 위로 장아찌가 나오지 않도록 위를 꼭꼭 눌러 두어야 맛이 변하지 않고 오랫동안 먹을 수 있다.","장아찌의 재료는 깨끗이 씻어서 담아야 하며, 더덕이나 도라지와 같이 쓴맛이 있는 것은 소금물에 잠시 담가 쓴맛을 제거한다. 깻잎, 콩잎, 마늘 쫑, 고들빼기, 감, 매실 등은 소금물에 일정 기간 숙성하여 부드럽게 하고, 마늘, 생강과 같이 강한 매운맛을 지닌 것은 식초물에 삭혔다가 담는다.","섭취 또는 조리 전 식재료 특성에 맞게 이물질을 제거하고, 세척이 필요한 경우 흐르는 물에 충분히 씻는다.",,더덕장아찌,100g,141.000,62.0,4.47,0.89,3.77,28.9,15.38,5.7,38.00,1.1,134.0,320.000,"1,167.000",0.0,0.0,0.23,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=10&menuId=PS03599,식품의약품안전처/식생활안전관리원 잔류농약 세척법,https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs001&menu_grp=MENU_NEW01&menu_no=3120&ntctxt_no=1100621,,,식품의약품안전처,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
견과 및 종실류,해당없음,해당없음,R105-004000000-0000,도토리묵,원재료성,해당없음,도토리묵,도토리나무 / 도토리묵 / 묵 / 올방개묵 / 참나무 / 청포묵,묵,가공식품류,영양+가이드,12,찬물에 담근 다음 물기를 빼고 신문지에 한 번 싸서 비닐에 다시 한 번 더 싸서 냉장실에 보관한다.,깍지를 벗기고 빻아 물에 여러 번 우려내면 탄닌이 제거된다. 탄닌의 양은 3~9% 정도이다.,,겉은 단단하고 껍질이 매끄러운 도토리를 고른다.,도토리묵,100g,47.00,88.1,0.33,0.11,0.19,11.23,0.0,,15.00,0.23,3.0,12.00,76.00,0.0,0.0,0.03,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=145&menuId=PS03599,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=145&menuId=PS03599,,,국립식량과학원 이달의 식재료,https: / www.nics.go.kr / food / kfi / foodMonth / view?fd_se=286&fd_snn=145&menuId=PS03599,농진청('18),농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
튀김류,해당없음,해당없음,D312-550000000-0002,돈가스,음식,해당없음,돈가스,돈가스,돈가스,가공식품류,영양만 있음,,,,,,돈가스,100g,280.000,50.7,13.85,17.94,1.65,15.89,4.99,0.3,34.00,0.96,188.0,224.000,343.000,0.0,26.48,3.16,,,,,,,,,식품의약품안전처,,
농산가공식품류,땅콩 또는 견과류가공품류,땅콩버터,P116-301030100-0001,리고 땅콩버터(LIGO PEANUT BUTTER CHUNKY),가공식품,해당없음,땅콩버터,땅꽁버터 / 땅콩버터 / 피넛버터 / 땅콩잼,땅콩버터 / 땅콩잼,가공식품류,영양만 있음,,,,,,땅콩버터,100g,611.000,,22.0,47.0,,25.0,12.5,,,,,,390.000,,0.0,8.0,,,,,,,,,식품의약품안전처,,
