middle_id,name,major_id,major_name
middle_0001,발효·절임류,major_0001,가공식품
middle_0002,빵·면·떡류,major_0001,가공식품
middle_0003,소스·드레싱류,major_0001,가공식품
middle_0004,식용유지류,major_0001,가공식품
middle_0005,양념·장류,major_0001,가공식품
middle_0006,음료·기호식품,major_0001,가공식품
middle_0007,일반가공식품,major_0001,가공식품
middle_0008,감자·뿌리류,major_0002,농산물
middle_0009,곡류,major_0002,농산물
middle_0010,과일류,major_0002,농산물
middle_0011,채소류,major_0002,농산물
middle_0012,두류·견과류,major_0002,농산물
middle_0013,버섯류,major_0002,농산물
middle_0014,게·새우류,major_0003,수산물
middle_0015,기타수산물,major_0003,수산물
middle_0016,생선,major_0003,수산물
middle_0017,수산가공품,major_0003,수산물
middle_0018,오징어·문어류,major_0003,수산물
middle_0019,조개류,major_0003,수산물
middle_0020,해조류,major_0003,수산물
middle_0021,달걀류,major_0004,축산물
middle_0022,닭·오리고기,major_0004,축산물
middle_0023,돼지고기,major_0004,축산물
middle_0024,소고기,major_0004,축산물
middle_0025,유제품,major_0004,축산물
middle_0026,육가공품,major_0004,축산물
