"level","ingredient_id","name","classification","data_source_type","reason"
"보류 권장","ingredient_0031","곤약면","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0032","당면","면/빵/떡","영양+가이드","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"삭제/병합 검토 우선","ingredient_0036","만두","면/빵/떡","영양+가이드","요리 완제품명에 가까움"
"보류 권장","ingredient_0040","소면","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0043","중화면","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0044","쫄면","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0045","칼국수면","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0046","파스타","면/빵/떡","영양만 있음","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"삭제/병합 검토 우선","ingredient_0382","돈가스","가공식품류","영양만 있음","요리 완제품명에 가까움"
"삭제/병합 검토 우선","ingredient_0386","순대","가공식품류","영양만 있음","요리 완제품명에 가까움"
"보류 권장","ingredient_0413","두부면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"삭제/병합 검토 우선","ingredient_0416","유부초밥","","","요리 완제품명에 가까움"
"보류 권장","ingredient_0447","국수","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0449","냉면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0451","도삭면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0452","도토리면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0456","사리곰탕면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0457","소바면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0458","옥수수면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"보류 권장","ingredient_0459","중면","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"삭제/병합 검토 우선","ingredient_0537","불고기","","","요리 완제품명에 가까움"
"삭제/병합 검토 우선","ingredient_0541","족발","","","요리 완제품명에 가까움"
"삭제/병합 검토 우선","ingredient_0585","감자튀김","","","요리 완제품명에 가까움"
"보류 권장","ingredient_0596","짜장","","","완제품처럼 보일 수 있으나 레시피 재료로 쓰이는 면/가공 재료 가능"
"삭제/병합 검토 우선","ingredient_0737","티본스테이크","","","요리 완제품명에 가까움"
