ingredient_id,alias_id,relationship
ingredient_0062,alias_0125,HAS_ALIAS
ingredient_0063,alias_0126,HAS_ALIAS
ingredient_0064,alias_0127,HAS_ALIAS
ingredient_0064,alias_0128,HAS_ALIAS
ingredient_0065,alias_0129,HAS_ALIAS
ingredient_0066,alias_0130,HAS_ALIAS
ingredient_0067,alias_0131,HAS_ALIAS
ingredient_0068,alias_0132,HAS_ALIAS
ingredient_0069,alias_0133,HAS_ALIAS
ingredient_0070,alias_0134,HAS_ALIAS
ingredient_0071,alias_0135,HAS_ALIAS
ingredient_0072,alias_0136,HAS_ALIAS
ingredient_0073,alias_0137,HAS_ALIAS
ingredient_0074,alias_0138,HAS_ALIAS
ingredient_0075,alias_0139,HAS_ALIAS
ingredient_0076,alias_0140,HAS_ALIAS
ingredient_0076,alias_0141,HAS_ALIAS
ingredient_0076,alias_0142,HAS_ALIAS
ingredient_0077,alias_0143,HAS_ALIAS
ingredient_0077,alias_0144,HAS_ALIAS
ingredient_0077,alias_0145,HAS_ALIAS
ingredient_0077,alias_0146,HAS_ALIAS
ingredient_0077,alias_0147,HAS_ALIAS
ingredient_0078,alias_0148,HAS_ALIAS
ingredient_0078,alias_0149,HAS_ALIAS
ingredient_0078,alias_0150,HAS_ALIAS
ingredient_0079,alias_0151,HAS_ALIAS
ingredient_0080,alias_0152,HAS_ALIAS
ingredient_0080,alias_0153,HAS_ALIAS
ingredient_0080,alias_0154,HAS_ALIAS
ingredient_0081,alias_0155,HAS_ALIAS
ingredient_0082,alias_0156,HAS_ALIAS
ingredient_0083,alias_0157,HAS_ALIAS
ingredient_0084,alias_0158,HAS_ALIAS
ingredient_0084,alias_0159,HAS_ALIAS
ingredient_0084,alias_0160,HAS_ALIAS
ingredient_0085,alias_0161,HAS_ALIAS
ingredient_0086,alias_0162,HAS_ALIAS
ingredient_0086,alias_0163,HAS_ALIAS
ingredient_0087,alias_0024,HAS_ALIAS
ingredient_0087,alias_0164,HAS_ALIAS
ingredient_0088,alias_0165,HAS_ALIAS
ingredient_0089,alias_0166,HAS_ALIAS
ingredient_0089,alias_0167,HAS_ALIAS
ingredient_0089,alias_0168,HAS_ALIAS
ingredient_0089,alias_0169,HAS_ALIAS
ingredient_0089,alias_0170,HAS_ALIAS
ingredient_0089,alias_0171,HAS_ALIAS
ingredient_0089,alias_0172,HAS_ALIAS
ingredient_0090,alias_0173,HAS_ALIAS
ingredient_0091,alias_0174,HAS_ALIAS
ingredient_0092,alias_0175,HAS_ALIAS
ingredient_0092,alias_0176,HAS_ALIAS
ingredient_0092,alias_0177,HAS_ALIAS
ingredient_0093,alias_0140,HAS_ALIAS
ingredient_0093,alias_0178,HAS_ALIAS
ingredient_0093,alias_0179,HAS_ALIAS
ingredient_0093,alias_0180,HAS_ALIAS
ingredient_0093,alias_0181,HAS_ALIAS
ingredient_0093,alias_0182,HAS_ALIAS
ingredient_0093,alias_0183,HAS_ALIAS
ingredient_0093,alias_0184,HAS_ALIAS
ingredient_0093,alias_0185,HAS_ALIAS
ingredient_0093,alias_0186,HAS_ALIAS
ingredient_0094,alias_0187,HAS_ALIAS
ingredient_0094,alias_0188,HAS_ALIAS
ingredient_0094,alias_0189,HAS_ALIAS
ingredient_0095,alias_0190,HAS_ALIAS
ingredient_0096,alias_0191,HAS_ALIAS
ingredient_0096,alias_0192,HAS_ALIAS
ingredient_0096,alias_0193,HAS_ALIAS
ingredient_0097,alias_0194,HAS_ALIAS
ingredient_0097,alias_0195,HAS_ALIAS
ingredient_0097,alias_0196,HAS_ALIAS
ingredient_0097,alias_0197,HAS_ALIAS
ingredient_0098,alias_0198,HAS_ALIAS
ingredient_0099,alias_0199,HAS_ALIAS
ingredient_0099,alias_0200,HAS_ALIAS
ingredient_0099,alias_0201,HAS_ALIAS
ingredient_0099,alias_0202,HAS_ALIAS
ingredient_0099,alias_0203,HAS_ALIAS
ingredient_0099,alias_0204,HAS_ALIAS
ingredient_0099,alias_0205,HAS_ALIAS
ingredient_0099,alias_0206,HAS_ALIAS
ingredient_0099,alias_0207,HAS_ALIAS
ingredient_0099,alias_0208,HAS_ALIAS
ingredient_0099,alias_0209,HAS_ALIAS
ingredient_0099,alias_0210,HAS_ALIAS
ingredient_0099,alias_0211,HAS_ALIAS
ingredient_0100,alias_0212,HAS_ALIAS
ingredient_0100,alias_0213,HAS_ALIAS
ingredient_0100,alias_0214,HAS_ALIAS
ingredient_0100,alias_0215,HAS_ALIAS
ingredient_0100,alias_0216,HAS_ALIAS
ingredient_0100,alias_0217,HAS_ALIAS
ingredient_0100,alias_0218,HAS_ALIAS
ingredient_0100,alias_0219,HAS_ALIAS
ingredient_0100,alias_0220,HAS_ALIAS
ingredient_0100,alias_0221,HAS_ALIAS
ingredient_0100,alias_0222,HAS_ALIAS
ingredient_0100,alias_0223,HAS_ALIAS
ingredient_0100,alias_0224,HAS_ALIAS
ingredient_0101,alias_0225,HAS_ALIAS
ingredient_0101,alias_0226,HAS_ALIAS
ingredient_0102,alias_0227,HAS_ALIAS
ingredient_0103,alias_0228,HAS_ALIAS
ingredient_0104,alias_0229,HAS_ALIAS
ingredient_0105,alias_0230,HAS_ALIAS
ingredient_0105,alias_0231,HAS_ALIAS
ingredient_0106,alias_0232,HAS_ALIAS
ingredient_0106,alias_0233,HAS_ALIAS
ingredient_0106,alias_0234,HAS_ALIAS
ingredient_0107,alias_0235,HAS_ALIAS
ingredient_0108,alias_0236,HAS_ALIAS
ingredient_0108,alias_0237,HAS_ALIAS
ingredient_0109,alias_0238,HAS_ALIAS
ingredient_0110,alias_0239,HAS_ALIAS
ingredient_0110,alias_0240,HAS_ALIAS
ingredient_0111,alias_0241,HAS_ALIAS
ingredient_0111,alias_0242,HAS_ALIAS
ingredient_0112,alias_0243,HAS_ALIAS
ingredient_0113,alias_0024,HAS_ALIAS
ingredient_0113,alias_0244,HAS_ALIAS
ingredient_0114,alias_0245,HAS_ALIAS
ingredient_0115,alias_0246,HAS_ALIAS
ingredient_0115,alias_0247,HAS_ALIAS
ingredient_0115,alias_0248,HAS_ALIAS
ingredient_0115,alias_0249,HAS_ALIAS
