bar_id,subset,bar,n,spearman,pearson
B0_legacy,all,score,563,-0.03233414987067256,0.07948526508913312
B0_legacy,ceiling,score,529,-0.0049921220622585714,0.11480114940154128
B0_legacy,star_varies,score,34,0.4418961536090005,0.35112709239702133
B0_legacy,low_tail,score,37,0.49365590696355405,0.2643451968162833
B1_sum_02,all,score,563,-0.02868370130397265,0.07948526508913314
B1_sum_02,ceiling,score,529,-0.0008874250939119023,0.11480114940154132
B1_sum_02,star_varies,score,34,0.4418961536090005,0.3511270923970213
B1_sum_02,low_tail,score,37,0.49688708697505013,0.2643451968162833
B2_prod_avg,all,score,563,-0.02851928737413262,0.0901468565398159
B2_prod_avg,ceiling,score,529,-0.0008717494680312536,0.11480114940154128
B2_prod_avg,star_varies,score,34,0.4517858009724778,0.40639971991030127
B2_prod_avg,low_tail,score,37,0.5117714065780411,0.3988776441832827
B3_prod_row,all,score,563,-0.027884930888056422,0.0976350595070934
B3_prod_row,ceiling,score,529,-0.0008717494680312536,0.11480114940154128
B3_prod_row,star_varies,score,34,0.47641628889454807,0.43208391571152355
B3_prod_row,low_tail,score,37,0.5722928298535119,0.4320344921183079
