target,subset,bar,n,spearman,pearson
star_sentiment_sum,all,review_rank_score,563,-0.03233414987067256,0.079485265089133
star_sentiment_sum,ceiling,review_rank_score,529,-0.0049921220622585714,0.11480114940154144
star_sentiment_sum,star_varies,review_rank_score,34,0.4418961536090005,0.3511270923970213
star_sentiment_sum,low_tail,review_rank_score,37,0.49365590696355405,0.26434519681628327
sentiment_only,all,review_rank_score,563,-0.03359799156661338,0.07953021948866003
sentiment_only,ceiling,review_rank_score,529,-0.005797725477823411,0.11450346589121224
sentiment_only,star_varies,review_rank_score,34,0.4418961536090005,0.3529772863726084
sentiment_only,low_tail,review_rank_score,37,0.4953160517383534,0.26779872180333525
star_only,all,review_rank_score,563,-0.03103724590742652,0.08056923195523812
star_only,ceiling,review_rank_score,529,-0.0030404714314306064,0.11681047897918295
star_only,star_varies,review_rank_score,34,0.4591744461203559,0.35168527743492756
star_only,low_tail,review_rank_score,37,0.4938930705028111,0.26685665583914714
ratio_1_2,all,review_rank_score,563,-0.03612390801306863,0.07878356999245865
ratio_1_2,ceiling,review_rank_score,529,-0.008433629967733865,0.11550896480998958
ratio_1_2,star_varies,review_rank_score,34,0.44617750042597354,0.342255649142088
ratio_1_2,low_tail,review_rank_score,37,0.4787146039903597,0.26146442601423503
