RCP_SNO,CKG_NM,REVIEW_RANK_SCORE,ml_predicted_recommend_score,recommend_model_version,final_recommend_score,recommend_score_source
7016814,된장수육,,5.183490770232413,recommendation,5.183490770232413,ml_imputed
7016815,우거지 감자탕,,4.621395228834456,recommendation,4.621395228834456,ml_imputed
7016816,만두전골,,2.8989715644792335,recommendation,2.8989715644792335,ml_imputed
7016817,무수분보쌈,,3.9867678978215184,recommendation,3.9867678978215184,ml_imputed
7016820,참치 카나페,,2.8176054018204533,recommendation,2.8176054018204533,ml_imputed
7016824,소고기 떡국,,3.981729262263417,recommendation,3.981729262263417,ml_imputed
7016834,대파 간장계란밥,,3.290778093118543,recommendation,3.290778093118543,ml_imputed
7016836,브라운슈가헤이즐넛라떼,,2.7185813428559493,recommendation,2.7185813428559493,ml_imputed
7016837,떡국,,3.8333353006808086,recommendation,3.8333353006808086,ml_imputed
7016842,짜사이무침,,2.9898790276284988,recommendation,2.9898790276284988,ml_imputed
7016862,생선초밥,,3.329757867220752,recommendation,3.329757867220752,ml_imputed
7016868,소불고기파스타,,5.002082735773065,recommendation,5.002082735773065,ml_imputed
7016872,새우샐러드,,2.971994685885429,recommendation,2.971994685885429,ml_imputed
7016873,녹두빈대떡,,4.13132915103152,recommendation,4.13132915103152,ml_imputed
7016890,버터구이오징어,,3.732366699223104,recommendation,3.732366699223104,ml_imputed
7016893,파계란국,,3.3626346680883414,recommendation,3.3626346680883414,ml_imputed
7016895,삼겹살김밥,,2.631816899926055,recommendation,2.631816899926055,ml_imputed
7016898,매콤 스팸마요덮밥,,4.231655564967031,recommendation,4.231655564967031,ml_imputed
7016900,고등어 두부조림,,3.323125723609753,recommendation,3.323125723609753,ml_imputed
7016914,고구마 닭볶음탕,,4.4487465979313905,recommendation,4.4487465979313905,ml_imputed
7016922,묵은지볶음,,3.6340198156249435,recommendation,3.6340198156249435,ml_imputed
7016923,흑임자크림라떼,,3.405811474304524,recommendation,3.405811474304524,ml_imputed
7016928,들기름 두부지짐,,3.30994607701205,recommendation,3.30994607701205,ml_imputed
7016935,간장계란비빔밥,,4.161823148512862,recommendation,4.161823148512862,ml_imputed
7016939,홍합밥,,3.7536576453888553,recommendation,3.7536576453888553,ml_imputed
7016948,양송이 햄버거,,4.565115207723017,recommendation,4.565115207723017,ml_imputed
7016950,고구마튀김,,3.020750102488598,recommendation,3.020750102488598,ml_imputed
7016952,새우 잡채,,3.655974047709904,recommendation,3.655974047709904,ml_imputed
7016963,연근치즈구이,,3.491504820540456,recommendation,3.491504820540456,ml_imputed
7016964,감자 버터구이,,3.0038319039192443,recommendation,3.0038319039192443,ml_imputed
7016973,버터갈릭새우,,4.260667426222447,recommendation,4.260667426222447,ml_imputed
7016979,홍합탕,,3.4501916977989313,recommendation,3.4501916977989313,ml_imputed
7016981,냉장족발,,1.7798810278393058,recommendation,1.7798810278393058,ml_imputed
7016983,고추장두부찌개,,3.0658139314116233,recommendation,3.0658139314116233,ml_imputed
7016993,들깨 무나물볶음,,2.6053785592869634,recommendation,2.6053785592869634,ml_imputed
7016998,해독주스,,4.21822229936388,recommendation,4.21822229936388,ml_imputed
7017004,콩나물 무밥,,3.838578983334464,recommendation,3.838578983334464,ml_imputed
7017007,짬뽕국,,3.2450871033986446,recommendation,3.2450871033986446,ml_imputed
7017008,배추전,,4.855543177631597,recommendation,4.855543177631597,ml_imputed
7017009,파닭,,4.13954379300149,recommendation,4.13954379300149,ml_imputed
7017010,구운 계란,,1.8555518356826337,recommendation,1.8555518356826337,ml_imputed
7017013,연유라떼,,2.9852032715031083,recommendation,2.9852032715031083,ml_imputed
7017014,부대볶음,,2.9030894733207773,recommendation,2.9030894733207773,ml_imputed
7017015,참치 두부김치,,4.093297495619636,recommendation,4.093297495619636,ml_imputed
7017021,순대볶음,,3.5334824999445003,recommendation,3.5334824999445003,ml_imputed
7017023,두부전골,,2.8498308083269017,recommendation,2.8498308083269017,ml_imputed
7017025,계란 야채죽,,4.06268020697486,recommendation,4.06268020697486,ml_imputed
7017031,시금치된장국,,3.8828553343134087,recommendation,3.8828553343134087,ml_imputed
7017034,우거지 선지국,,3.3055158203178765,recommendation,3.3055158203178765,ml_imputed
7017039,유산슬달걀덮밥,,3.5432741514915445,recommendation,3.5432741514915445,ml_imputed
7017042,딸기라떼,,4.837639207268545,recommendation,4.837639207268545,ml_imputed
7017052,마늘빵,,4.069819999018503,recommendation,4.069819999018503,ml_imputed
7017058,팽이버섯 김말이 간장조림,,3.8730435833999537,recommendation,3.8730435833999537,ml_imputed
7017060,백합무침,,2.49346248533925,recommendation,2.49346248533925,ml_imputed
7017065,양배추 청경채무침,,4.250281699929335,recommendation,4.250281699929335,ml_imputed
7017066,훈제삼겹살쌈무말이,,3.5399791161538436,recommendation,3.5399791161538436,ml_imputed
7017071,콩나물 무나물,,2.8530511910148952,recommendation,2.8530511910148952,ml_imputed
7017076,김밥전,,3.423525925541618,recommendation,3.423525925541618,ml_imputed
7017079,소고기 샤브샤브,,5.2098723735016,recommendation,5.2098723735016,ml_imputed
7017083,참치 뽈살,,3.789864233443372,recommendation,3.789864233443372,ml_imputed
7017084,간장소고기볶음,,3.6921752595993453,recommendation,3.6921752595993453,ml_imputed
7017086,마늘멸치볶음,,2.3086822039893624,recommendation,2.3086822039893624,ml_imputed
7017087,황태미역국,,3.911803624642762,recommendation,3.911803624642762,ml_imputed
7017093,도토리묵양념장,,3.8330628402257676,recommendation,3.8330628402257676,ml_imputed
7017095,온묵밥,,4.210608625438023,recommendation,4.210608625438023,ml_imputed
7017096,딴삥,,4.881450955974324,recommendation,4.881450955974324,ml_imputed
7017108,단호박샐러드,,3.6064515382337716,recommendation,3.6064515382337716,ml_imputed
7017110,간장연어장,,3.8147097760972497,recommendation,3.8147097760972497,ml_imputed
7017112,콩나물 미역무침,,3.5568267953321073,recommendation,3.5568267953321073,ml_imputed
7017115,애호박 부침개,,4.631330822884029,recommendation,4.631330822884029,ml_imputed
7017116,황태무국,,4.352535399133546,recommendation,4.352535399133546,ml_imputed
7017125,올갱이국,,4.182433406172274,recommendation,4.182433406172274,ml_imputed
