id,recipe_id,author_name,content
1,7016815,성원,오 맛있어보여요~
2,7017096,여언,빠삭빠삭 쫀득쫀득 맛있어용~ 소스만 먹었을때 달줄 알았더니 잘어울리고 대파가 아삭아삭 씹히는게 너무 맛있어요 저는 귀찮아서 계란만 넣었는데 맛있어요 대만여행 다녀오고 이맛을 잊지 못해 만들어야겠다 결심했는데 레시피가 너무 쉬워서 행복했어요 레시피 올려주셔서 감사합니다~
3,7017096,슈퍼파워,여언 감사합니다 ㅎㅎ 대만 좋아하는 사람으로~~ 이런 후기 너무 기쁘네요!!!!
4,7017096,알리체,레시피를 참고해서 만들어봤는데 전병 반죽 양이 좀 많은 것 같아요~ 2인분 분량에서 반만 만들어봤는데도 반죽 분량을 팬에 다 넣으면 두께가 너무 두꺼워져서 제대로 익힐 수가 없네요ㅠㅠ 이거면 최소한 전병 2장 만들 양이니까 다른 분들은 저처럼 반죽 한번에 통으로 다 붓고 망치지 마세요... 대만에서 먹어본 딴삥은 얇았는데 전혀 그 느낌이 아니게 됐어요.
5,7017096,슈퍼파워,"알리체 헉 레시피 1-2국자대로 하셨나요?!!! 제가 가지고 있는 국자 크기랑 달라서 반죽이 많이 들어갔을 수도 있겠네요 ㅠㅜ
대만에서 딴삥 정말 많이 먹어보고, 현지인이 알려준 레시피대로 (소스제외) 만든건데 ㅠㅜ 제가 했던 완성본이랑 다르게 나왔다니...아쉽네요"
6,7017130,JH,맛있을거 같아요~~~
7,7017130,빈티지홀릭,JH 강추 입니다 ㅎㅎ
8,7017210,김시만,어떠하게 만들어가고 양념은 어떠하게 해야 하는가요
9,7017210,만개의레시피,김시만 레시피 순서를 천천히 보시면 만드실수 있으실 거예요. 집밥먹는깡주부님 블로그로 들어가 보셔도 좋아요.^^
10,7017300,바카라전화배팅사이트,오 감사합니다 이 방법대로 만들어볼게요
11,7017327,bbibb,좋아요
12,7017649,요리,안녕하세요? 다이어트 식단을 검색하다가 선생님의 글을 보게 되었습니다. 혹시 실례가 안된다면 선생님의 글을 출처를 남기고 블로그에 다이어트식단 레시피 글을 써도 될까요???
13,7017780,카시오페아,정말 맛있을거같아요~
14,7017780,빈티지홀릭,카시오페아 네~ 추천 하고 싶습니다^^
15,7017865,깐눈이,"와우~~육개장이 간절한 계절이네요~
한그릇 뚝딱 하고 싶어집니다.
나물종류는 정말 정성이 많이 필요하네요~
조만간 도전해볼게요~"
16,7017935,타인e,"재대르 만들엇어용 ㅎㅎ
맛나게 잘먹곘습니다⏝💜ᭂ҉͡ ━─Good!👍"
17,7017935,마가렛레시피,타인e ㅎㅎ즐거운 식사되셨길 바래요 감사합니다♡
