RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7017981,떡갈비,0.0,
7017989,맛살마요 유부초밥,0.0,
7017993,얼그레이 하이볼,0.0,
7017995,꽈리고추 멸치볶음,0.0,
7018001,전복죽,0.0,
7018004,굴전,0.0,
7018011,단호박 식혜,0.0,
7018012,돼지목살 간장볶음,0.0,
7018013,김치 청국장,0.0,1.0
7018017,고추장 오징어실채볶음무침,0.0,
7018022,돼지고기 순두부찌개,0.0,1.0
7018023,소고기 무솥밥,0.0,
7018024,톳두부무침,0.0,
7018027,오트밀죽,0.0,
7018033,애호박 된장찌개,0.0,
7018034,육회김밥,0.0,
7018035,서리태 콩밥,0.0,
7018038,들깨 감자국,0.0,
7018039,뼈다귀 해장국,0.0,
7018042,나물 소고기비빔밥,0.0,
7018055,평생김치찌개,0.0,
7018056,탕후루,0.0,
7018059,매생이 굴국,0.0,1.0
7018060,홍합 미역국,0.0,
7018065,배추 우거지,0.0,
7018067,양배추김치,0.0,
7018069,딸기청 라떼,0.0,
7018070,굴 강된장,0.0,
7018072,마카로니샐러드,0.0,
7018075,쪽파 김무침,0.0,
7018078,굴 감바스,0.0,
7018081,돌체 크림라떼,0.0,
7018087,오이 고추된장무침,0.0,
7018088,들깨 두부솥톳밥,0.0,
7018093,귤잼,0.0,
7018096,스팸 감자채전,0.0,
7018098,데리야끼 치킨덮밥,0.0,
7018100,고등어 유자청구이,0.0,
7018104,양파 초절임,0.0,
7018107,쪽파 크림치즈 베이글 샌드위치,0.0,
7018111,에그 샌드위치,0.0,
7018112,군만두,0.0,
7018123,바스크 치즈케이크,0.0,
7018125,꽈리고추찜무침,0.0,
7018129,당근라페 샌드위치,0.0,
7018130,규동,0.0,1.0
7018132,매콤 순살 간장찜닭,0.0,
7018133,우삼겹 솥밥,0.0,
7018144,물미역나물무침,0.0,
7018148,메추리알장조림,0.0,
7018161,간장 닭볶음탕,,
7018162,김자반,0.0,
7018169,달래 양념장,0.0,
7018171,멸치 두부조림,0.0,
7018178,굴소스 어묵소세지볶음,0.0,3.0
7018179,냉우동,0.0,
7018184,간장 무조림,0.0,
7018188,매운 갈비찜,0.0,1.0
7018192,토피넛 라떼,0.0,
7018195,순두부 장,0.0,
7018197,양배추 피자,0.0,
7018199,차돌박이김치찌개,0.0,
7018201,로제 스파게티,0.0,
7018210,라면볶음밥,0.0,
7018214,파스타 칩,0.0,
7018215,오이 달래무침,0.0,
7018219,비지찌개,0.0,1.0
7018221,차돌박이 야채찜,0.0,
7018233,바닐라 더블샷 라떼,0.0,
7018237,닭가슴살 계란 장조림,0.0,
7018240,알밥,0.0,
7018242,당근사과배추샐러드,0.0,
