RCP_SNO,CKG_NM,INQ_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,INQ_CNT_RATE,REVIEW_STAR_NORM_AVG,REVIEW_SENTIMENT_AVG,INQ_CNT_LOG,INQ_CNT_LOG_CENTERED,SRAP_CNT_LOG,SRAP_CNT_LOG_CENTERED,REVIEW_RANK_SCORE
7016862,생선초밥,2659,5,회,손님접대,해물류,밥/죽/떡,"[['다시마', '8', '조각'], [' 식초', '4', 't'], [' 설탕', '3.5', 't'], [' 소금', '0.9', 't'], [' 초대리', '2', 't'], [' 생선회', '13', '조각'], [' 김', '1/4', '장'], [' 무순', '', '약간'], [' 고추냉이', '', '약간']]",3인분,중급,60분이내,0.043750103,,,7.886081401775745,0.11738134583793158,1.791759469228055,-0.5199120040263976,
7016868,소불고기파스타,1056,4,볶음,손님접대,소고기,면/만두,"[['파스타면', '2', '인분'], [' 한우소고기', '200', 'g'], [' 대파', '1', '개'], [' 양파', '1/2', '개'], [' 양송이버섯', '6', '개'], [' 베이비 야채', '', '조금'], [' 미림', '1', 't'], [' 고춧가루', '3', 't'], [' 설탕', '2', 't'], [' 물엿', '1', 't'], [' 다진 마늘', '1', 't'], [' 물', '1/2', 'c']]",2인분,고급,15분이내,0.017374994,,,6.963189985870238,-0.8055100700675757,1.6094379124341003,-0.7022335608203523,
7016872,새우샐러드,1684,6,기타,기타,채소류,샐러드,"[['양상추', '3', '장'], [' 냉동새우', '6', '마리'], [' 올리브오일', '', '조금'], [' 허브솔트', '', '조금'], [' 블루베리', '2', '줌'], [' 방울토마토', '5', '개'], [' 마카다미아', '1', '줌'], [' 꿀', '2', 't'], [' 레몬즙', '1.5', 't'], [' 소금', '1/3', 't']]",1인분,초급,30분이내,0.02770785,,,7.429520842786462,-0.33917921315135136,1.9459101490553132,-0.3657613241991393,
7016873,녹두빈대떡,19732,15,부침,술안주,곡류,밥/죽/떡,"[['녹두', '200', 'g'], [' 물', '200', 'g'], [' 돼지고기 다짐육', '160', 'g'], [' 배추김치', '1', '컵'], [' 숙주', '2', '줌'], [' 고사리 데친거', '1', '줌'], [' 대파', '1/2', '대'], [' 찹쌀가루', '40', 'ml'], [' 소금', '', ''], [' 식용유', '', ''], [' 들기름', '', '약간'], [' 다진 마늘', '1', 't'], [' 생강가루', '1/3', 't'], [' 후추', '', '약간']]",2인분,고급,2시간이상,0.32466229,,,9.890047640169426,2.1213475842316125,2.772588722239781,0.4609172489853286,
7016890,버터구이오징어,1684,9,굽기,술안주,해물류,메인반찬,"[['반건조오징어', '1-2', '마리'], [' 버터', '20', 'g'], [' 설탕', '1', 't'], [' 올리고당', '1/2', 't']]",2인분,고급,15분이내,0.02770785,,,7.429520842786462,-0.33917921315135136,2.302585092994046,-0.009086380260406646,
7016893,파계란국,1023,20,끓이기,일상,달걀/유제품,국/탕,"[['계란', '3', '개'], [' 육수', '700', 'ml'], [' 국간장', '1.5', '큰술'], [' 양파', '1/4', '개'], [' 파', '1', '움큼'], [' 후추', '', '약간'], [' 소금', '', '약간'], [' 간마늘', '1', 't']]",4인분,고급,10분이내,0.016832025,,,6.931471805599453,-0.8372282503383603,3.044522437723423,0.7328509644689705,
7016895,삼겹살김밥,1931,4,기타,도시락,돼지고기,밥/죽/떡,"[['밥', '1', '공기'], [' 김', '3', '장'], [' 묵은지', '3~6', '잎'], [' 삼겹살', '100', 'g'], [' 양파', '1/2', '개'], [' 당근', '1/4', '개'], [' 식용유', '', '약간'], [' 소금', '', '약간'], [' 깨소금', '', '약간'], [' 참기름', '1', 't'], [' 매실청', '0.5', 't'], [' 참기름', '0.5', 't']]",2인분,초급,30분이내,0.031771887,,,7.566311014772463,-0.2023890411653504,1.6094379124341003,-0.7022335608203523,
7016898,매콤 스팸마요덮밥,1148,15,볶음,일상,가공식품류,밥/죽/떡,"[['달걀', '2', '개'], [' 스팸', '1/2', '통'], [' 밥', '1', '그릇'], [' 양파', '1/3', '개'], [' 대파흰부분', '1/2', '개'], [' 청양고추', '1/2', '개'], [' 다진마늘', '1/2', '숟갈'], [' 마요네즈', '1.5', '숟갈'], [' 김가루', '1', '젓가락'], [' 참기름', '1', '티스푼'], [' 맛소금', '1', '꼬집'], [' 식용유', '2', '숟갈'], [' 케첩', '2', '큰숟갈'], [' 진간장', '1', '숟갈']]",1인분,고급,30분이내,0.018888724,,,7.046647277848756,-0.7220527780890578,2.772588722239781,0.4609172489853286,
7016900,고등어 두부조림,4551,10,조림,일상,해물류,메인반찬,"[['손질고등어', '2', '마리'], [' 무', '500', 'g'], [' 양파', '1', '개'], [' 두부', '1/2', '모'], [' 다진마늘', '1', 't'], [' 올리고당', '2', 't'], [' 간장', '3~4', 't'], [' 참치액젓', '1', 't'], [' 맛술', '2', 't'], [' 된장', '1/2', ''], [' 물', '500', 'ml']]",3인분,중급,30분이내,0.0748803,,,8.423321975806166,0.6546219198683527,2.3978952727983707,0.08622379954391812,
7016902,깻잎나물볶음,1834,92,볶음,일상,채소류,밑반찬,"[['깻잎순', '200', 'g'], [' 소금', '0.5', '스푼'], [' 물', '500', 'ml'], [' 깨', '', '조금'], [' 다진대파', '1', '스푼'], [' 국간장', '1', '스푼'], [' 들기름', '1', '스푼']]",3인분,초급,30분이내,0.030175889,1.0,0.94,7.51479976048867,-0.25390029544914317,4.532599493153256,2.2209280198988037,1.94
7016909,계란찜,7567,175,찜,일상,달걀/유제품,메인반찬,"[['계란', '4', '개'], [' 물', '120', 'ml'], [' 다진쪽파', '2', '큰술'], [' 쯔유', '2', '큰술'], [' 후추', '', '톡톡'], [' 참기름', '1', '큰술']]",2인분,초급,10분이내,0.124504336,1.0,0.9199999999999999,8.931684110731714,1.1629840547939008,5.170483995038151,2.858812521783699,1.92
7016914,고구마 닭볶음탕,963,17,조림,일상,닭고기,국/탕,"[['닭 볶음용', '1', '팩'], [' 고구마', '5', '개'], [' 대파', '', '넉넉히'], [' 양파', '1', '개'], [' 맛술', '1', '스푼'], [' 고춧가루', '2', '스푼'], [' 맛술', '1', '스푼'], [' 다진마늘', '2', '스푼'], [' 진간장', '2', '스푼'], [' 물엿', '2', '스푼'], [' 후춧가루', '', '약간']]",4인분,중급,30분이내,0.01584481,,,6.871091294610546,-0.8976087613272679,2.8903717578961645,0.578700284641712,
7016922,묵은지볶음,1496,16,볶음,초스피드,채소류,메인반찬,"[['신김치', '1/4', '포기'], [' 설탕', '1', 't'], [' 깨', '2', 't']]",4인분,초급,10분이내,0.024614575,,,7.311218384419629,-0.45748167151818464,2.833213344056216,0.5215418708017636,
7016923,흑임자크림라떼,4699,3,기타,일상,달걀/유제품,차/음료/술,"[['흑임자파우더', '2', 't'], [' 설탕', '1', 't'], [' 동물성 휘핑크림', '60', 'g'], [' 우유', '110', 'ml'], [' 에스프레소', '2', '샷']]",1인분,고급,15분이내,0.077315432,,,8.45531778769815,0.6866177317603359,1.3862943611198906,-0.925377112134562,
7016926,고구마 피자,4004,102,굽기,간식,곡류,퓨전,"[['고구마 중', '1', '개'], [' 피망', '1/4', '개'], [' 양파', '1/4', '개'], [' 베이컨', '4', '장'], [' 달걀', '1', '개'], [' 옥수수콘', '1~2', '큰술'], [' 소금', '1/3', '큰술'], [' 설탕', '1', '큰술'], [' 모짜렐라치즈', '', ''], [' 파슬리가루', '', '']]",2인분,고급,30분이내,0.065880185,1.0,0.96,8.29529885950246,0.5265988035646458,4.634728988229636,2.3230575149751833,1.96
7016928,들기름 두부지짐,1227,9,부침,일상,콩/견과류,메인반찬,"[['마른 두부', '500', 'g'], [' 들기름', '5', '큰술'], [' 김장김치', '', ''], [' 양념간장', '', '']]",2인분,고급,10분이내,0.020188558,,,7.113142108707088,-0.6555579472307258,2.302585092994046,-0.009086380260406646,
7016935,간장계란비빔밥,1828,10,비빔,초스피드,달걀/유제품,밥/죽/떡,"[['밥', '2', '공기'], [' 계란', '2', '개'], [' 간장', '2', '큰술'], [' 참기름', '2', '큰술'], [' 깨', '', '조금']]",2인분,중급,5분이내,0.030077167,,,7.511524648390866,-0.25717540754694745,2.3978952727983707,0.08622379954391812,
7016936,일본 카레,2496,15,끓이기,일상,돼지고기,기타,"[['에스비 골든 카레', '220', 'g'], [' 돼지고기 카레용', '400', 'g'], [' 감자', '400', 'g'], [' 당근', '250', 'g'], [' 양파', '300', 'g'], [' 냉동 완두콩', '150', 'g'], [' 후추', '', '약간']]",6인분이상,고급,30분이내,0.041068167,1.0,0.8999999999999999,7.822845290279774,0.05414523434196017,2.772588722239781,0.4609172489853286,1.9
7016939,홍합밥,1163,4,끓이기,일상,해물류,밥/죽/떡,"[['쌀', '1.5', '컵'], [' 홍합살', '200', 'g'], [' 당근', '1/4', '개'], [' 대파', '1/2', '대'], [' 쯔유', '1', '큰술'], [' 청주', '2', '작은술'], [' 다시마물', '1.5', '컵']]",3인분,고급,90분이내,0.019135528,,,7.059617628291383,-0.7090824276464307,1.6094379124341003,-0.7022335608203523,
7016948,양송이 햄버거,1230,32,기타,손님접대,채소류,디저트,"[['양송이버섯', '12', '개'], [' 냉동새우', '5', '마리'], [' 오이', '1/2', '개'], [' 방울토마토', '3', '개'], [' 슬라이스치즈', '2', '장'], [' 상추', '', '약간'], [' 소금', '', '약간'], [' 후추', '', '약간'], [' 올리브유', '', '약간']]",2인분,고급,15분이내,0.020237919,,,7.115582126184454,-0.6531179297533596,3.4965075614664802,1.1848360882120277,
7016950,고구마튀김,1800,2,튀김,간식,채소류,메인반찬,"[['고구마 큰 것', '2', '개'], [' 튀김가루', '1', '종이컵'], [' 차가운 물', '1', '종이컵'], [' 밀가루 박력분', '2~3', 't']]",2인분,중급,60분이내,0.029616467,,,7.496097345175956,-0.2726027107618574,1.0986122886681098,-1.2130591845863428,
7016952,새우 잡채,917,8,볶음,초스피드,해물류,밑반찬,"[['새우', '15', '마리'], [' 부추', '20', 'g'], [' 당면', '100', 'g'], [' 굴소스', '1', 't'], [' 진간장', '1', 't'], [' 후추', '', '소량'], [' 소금', '', '소량'], [' 참기름', '1', 't'], [' 참깨', '', '소량']]",2인분,고급,30분이내,0.015087944,,,6.822197390620491,-0.9465026653173227,2.1972245773362196,-0.11444689591823298,
7016963,연근치즈구이,1887,16,굽기,간식,채소류,메인반찬,"[['연근', '100', 'g'], [' 모짜렐라치즈', '', ''], [' 소금', '3~4', '꼬집'], [' 파슬리가루', '', '']]",2인분,고급,15분이내,0.031047929,,,7.543273346705446,-0.22542670923236763,2.833213344056216,0.5215418708017636,
7016964,감자 버터구이,1042,4,굽기,간식,채소류,메인반찬,"[['감자', '4', '개'], [' 튀김유', '2', 't'], [' 버터', '2', 't'], [' 설탕', '1', 't']]",4인분,초급,30분이내,0.017144644,,,6.949856455000773,-0.8188436009370408,1.6094379124341003,-0.7022335608203523,
7016972,갈치 간장조림,1187,11,조림,일상,해물류,메인반찬,"[['갈치', '1', '마리'], [' 대파 흰 부분', '2', '대'], [' 생강즙', '1/2', 't'], [' 청주', '150', 'ml'], [' 맛술', '150', 'ml'], [' 양조간장', '50', 'ml'], [' 설탕', '3', 't']]",4인분,고급,30분이내,0.019530414,1.0,0.7,7.080026499922591,-0.6886735560152228,2.4849066497880004,0.1732351765335478,1.7
7016973,버터갈릭새우,2695,11,볶음,손님접대,해물류,양식,"[['새우', '200', 'g'], [' 버터', '20', 'g'], [' 통마늘', '5~6', '개'], [' 다진마늘', '2', 't'], [' 소금', '1', 't'], [' 후추', '1', 't'], [' 파슬리', '1', 't'], [' 페페론치노', '3~4', '개']]",2인분,초급,10분이내,0.044342432,,,7.899524472032198,0.13082441609438433,2.4849066497880004,0.1732351765335478,
7016974,차돌박이된장찌개,7178,116,끓이기,일상,채소류,찌개,"[['감자', '1', '개'], [' 애호박', '1/3', '개'], [' 양파', '1', '개'], [' 대파', '1', '대'], [' 청양고추', '2-3', '개'], [' 두부', '1/2', '모'], [' 차돌박이', '200', 'g'], [' 쌈장 듬뿍', '1', 't'], [' 굵은 소금', '1/5', 't'], [' 식초', '1/2', 't'], [' 물', '1', 'l']]",6인분이상,고급,60분이내,0.118103888,1.0,0.8999999999999999,8.878915376576483,1.1102153206386696,4.762173934797756,2.4505024615433038,1.9
7016979,홍합탕,3940,5,끓이기,술안주,해물류,국/탕,"[['홍합', '1', 'kg'], [' 청양고추', '2', '개'], [' 대파', '1', '개'], [' 통마늘', '4~5', '개']]",3인분,고급,15분이내,0.064827155,,,8.279189777195004,0.5104897212571906,1.791759469228055,-0.5199120040263976,
7016981,냉장족발,1496,2,기타,손님접대,돼지고기,기타,"[['냉장 족발', '1', '개']]",4인분,중급,90분이내,0.024614575,,,7.311218384419629,-0.45748167151818464,1.0986122886681098,-1.2130591845863428,
7016983,고추장두부찌개,918,4,끓이기,일상,돼지고기,찌개,"[['돼지고기 찌개용', '600', 'g'], [' 고추장', '3', '스푼'], [' 고춧가루', '1', '스푼'], [' 두부', '2', '모'], [' 다진마늘', '1', '스푼'], [' 표고버섯가루', '1', '스푼'], [' 쌀뜨물', '400', 'ml'], [' 들기름', '2', '스푼']]",4인분,초급,30분이내,0.015104398,,,6.823286122355687,-0.9454139335821266,1.6094379124341003,-0.7022335608203523,
7016993,들깨 무나물볶음,3639,30,볶음,일상,채소류,밑반찬,"[['무', '630', 'g'], [' 대파', '20', 'g'], [' 들기름', '4', '큰술'], [' 다진마늘', '1', '큰술'], [' 소금', '1', '큰술'], [' 들깨가루', '2', '큰술'], [' 맛술', '2', '큰술']]",2인분,초급,30분이내,0.059874624,,,8.199738960630786,0.4310389046929721,3.4339872044851463,1.1223157312306937,
7016998,해독주스,5796,10,기타,영양식,채소류,차/음료/술,"[['양배추', '1/2', '통'], [' 당근', '3~4', '개'], [' 토마토', '10', '개'], [' 사과', '2', '개'], [' 샐러리', '', '조금'], [' 비트', '', '조금'], [' 브로콜리', '', '조금'], [' 삶은 고구마 작은것', '3', '개'], [' 매실액', '1', '컵'], [' 물', '1.5', 'l']]",4인분,고급,60분이내,0.095365023,,,8.665095821339733,0.8963957654019197,2.3978952727983707,0.08622379954391812,
7017002,오리주물럭,10371,66,볶음,영양식,육류,메인반찬,"[['오리 슬라이스', '300', 'g'], [' 양파', '1', '개'], [' 대파', '1/2', '대'], [' 당근', '1/4', '개'], [' 고춧가루', '1', 't'], [' 진간장', '3', 't'], [' 멸치 액젓', '1', 't'], [' 설탕', '2', 't'], [' 다진 마늘', '2', 't'], [' 참기름', '1', 't'], [' 후추', '', '약간'], [' 생강가루', '', '약간'], [' 맛술', '1', 't'], [' 참기름', '1', 't']]",4인분,중급,60분이내,0.170640209,1.0,0.96,9.246865146658555,1.4781650907207418,4.204692619390966,1.8930211461365132,1.96
7017003,김치 비지찌개,3521,13,끓이기,일상,돼지고기,찌개,"[['돼지고기 찌개용', '300', 'g'], [' 신 김치', '2', '줌'], [' 콩비지', '300', 'g'], [' 대파', '1/2', '대'], [' 청양고추', '1', '개'], [' 홍고추', '', '약간'], [' 양파', '1/2', '개'], [' 코인 육수', '1', '개'], [' 다진 마늘', '1', 't'], [' 후추', '', '약간'], [' 국간장', '0.5', 't']]",4인분,중급,60분이내,0.0579331,1.0,0.96,8.166784289056151,0.39808423311833785,2.6390573296152584,0.32738585636080586,1.96
7017004,콩나물 무밥,1772,14,기타,일상,채소류,밥/죽/떡,"[['쌀', '2', '컵'], [' 무', '100', 'g'], [' 당근', '', '약간'], [' 표고버섯', '3', '장'], [' 건다시마', '2', '장'], [' 홍고추', '1/2', '개'], [' 부추', '', '약간'], [' 다진 마늘', '1/2', 't'], [' 고춧가루', '1', 't'], [' 설탕', '1/2', 't'], [' 진간장', '3', 't'], [' 참기름', '1', 't'], [' 통깨', '1', 't']]",4인분,고급,30분이내,0.029155766,,,7.480428306074208,-0.2882717498636058,2.70805020110221,0.3963787278477575,
7017007,짬뽕국,1095,8,끓이기,일상,기타,국/탕,"[['돼지고기', '2', 'kg'], [' 오징어', '1', 'kg'], [' 조개살', '1', 'kg'], [' 배추', '1', 'kg'], [' 청경채', '1', 'kg'], [' 마늘', '100', 'g'], [' 대파', '3', '개'], [' 고춧가루', '200', 'g'], [' 소금', '50', 'g'], [' 다시다', '50', 'g'], [' 후추', '50', 'g'], [' 미림', '50', 'ml'], [' 다시마', '1', '개']]",6인분이상,중급,60분이내,0.018016684,,,6.999422467507961,-0.7692775884298522,2.1972245773362196,-0.11444689591823298,
7017008,배추전,9190,10,부침,일상,채소류,메인반찬,"[['배춧잎', '10', '장'], [' 밀가루', '100', 'g'], [' 부침가루', '100', 'g'], [' 물', '450', 'ml'], [' 계란', '1', '개'], [' 물', '1', '스푼'], [' 잔파', '', '조금'], [' 매실액', '1', '스푼'], [' 통깨', '', '조금'], [' 고춧가루', '', '조금'], [' 참기름', '1', '스푼']]",2인분,고급,30분이내,0.151208516,,,9.12598002335811,1.3572799674202969,2.3978952727983707,0.08622379954391812,
7017009,파닭,11779,60,부침,술안주,닭고기,메인반찬,"[['닭다리살', '300', 'g'], [' 청양고추', '1/2', '개'], [' 대파', '1/2', '대'], [' 우유', '100', 'ml'], [' 마늘', '4', '알'], [' 소금', '1/2', 't'], [' 후추', '', '약간'], [' 물엿', '4', 't'], [' 맛술', '4', 't'], [' 설탕', '3', 't'], [' 다진 마늘', '1/2', 't'], [' 물', '4', 't']]",3인분,고급,60분이내,0.193806868,,,9.374158457205578,1.6054584012677644,4.110873864173311,1.7992023909188588,
7017010,구운 계란,3453,5,기타,일상,달걀/유제품,기타,"[['계란', '10', '개']]",4인분,중급,2시간이상,0.056814255,,,8.147288258706624,0.37858820276881033,1.791759469228055,-0.5199120040263976,
7017012,양배추 밥,19350,651,볶음,초스피드,채소류,밥/죽/떡,"[['양배추', '100', 'g'], [' 식초', '', '약간'], [' 밥', '1', '공기'], [' 물', '3', '숟가락'], [' 달걀', '1', '개'], [' 김가루', '', '약간'], [' 참기름', '1', '숟가락'], [' 진간장', '4', '숟가락'], [' 다진 마늘', '1', '숟가락'], [' 청양고추', '2', '개'], [' 대파', '1/4', '개'], [' 다진 양파', '2', '숟가락'], [' 통깨', '1', '숟가락']]",1인분,고급,15분이내,0.318377018,1.0,0.98,9.870499376709148,2.1017993207713346,6.480044561926653,4.168373088672201,1.98
7017013,연유라떼,3915,7,기타,일상,달걀/유제품,차/음료/술,"[['얼음', '', '적당량'], [' 우유', '100', 'ml'], [' 연유', '10', 'g'], [' 에스프레소', '2', '샷']]",1인분,고급,10분이내,0.064415815,,,8.272826003650401,0.5041259477125877,2.0794415416798357,-0.2322299315746168,
7017014,부대볶음,1442,17,볶음,일상,가공식품류,메인반찬,"[['소시지', '2', '개'], [' 통조림햄', '200', 'g'], [' 양파', '1/2', '개'], [' 대파', '1/2', '대'], [' 양배추', '5-6', '장'], [' 마늘', '2', '알'], [' 베이크드빈스', '3', 't'], [' 물', '4', 't'], [' 토마토케첩', '2', 't'], [' 올리고당', '1', 't'], [' 설탕', '1', 't'], [' 고춧가루', '2', 't'], [' 진간장', '2', 't'], [' 후추', '', '적당량'], [' 슬라이스치즈', '1', '장'], [' 식용유', '', '적당량'], [' 통깨', '', '적당량']]",4인분,중급,15분이내,0.023726081,,,7.274479558773871,-0.49422049716394234,2.8903717578961645,0.578700284641712,
7017015,참치 두부김치,4568,25,볶음,술안주,가공식품류,김치/젓갈/장류,"[['두부', '300', 'g'], [' 배추김치', '6', '잎'], [' 양파', '1/2', '개'], [' 참치캔', '150', 'g'], [' 고춧가루', '1.5', 't'], [' 설탕', '1', 't'], [' 진간장', '1', 't'], [' 미림', '2', 't'], [' 소금', '3', '번'], [' 통깨', '', '적당량'], [' 참기름', '', '적당량']]",2인분,고급,2시간이내,0.075160011,,,8.427049641563272,0.6583495856254586,3.258096538021482,0.9464250647670296,
7017021,순대볶음,11855,7,볶음,술안주,가공식품류,메인반찬,"[['순대', '500', 'g'], [' 양파', '1/2', '개'], [' 당근', '1/4', '개'], [' 대파', '1', '대'], [' 양배추', '5-6', '장'], [' 깻잎', '10', '장'], [' 홍고추', '1', '개'], [' 청고추', '1', '개'], [' 식용유', '', '적당량'], [' 참기름', '', '적당량'], [' 통깨', '', '적당량'], [' 후추', '', '적당량'], [' 고춧가루', '1.5', 't'], [' 설탕', '1', 't'], [' 들깨가루', '1', 't'], [' 카레가루', '0.5', 't'], [' 진간장', '2', 't'], [' 미림', '2', 't']]",4인분,중급,30분이내,0.195057341,,,9.380589347535867,1.6118892915980538,2.0794415416798357,-0.2322299315746168,
7017023,두부전골,2375,6,끓이기,손님접대,가공식품류,메인반찬,"[['물', '1.5', 'l'], [' 청경채', '300', 'g'], [' 두부', '1~1.5', '모'], [' 배추', '6', '장'], [' 대파', '1', '대'], [' 표고버섯', '3-5', '개'], [' 마늘', '2', '알'], [' 닭안심', '4', '덩이'], [' 설탕', '1/3', 't'], [' 미림', '2', 't'], [' 후추', '', '적당량'], [' 생강가루', '1/2', 't'], [' 진간장', '1/2', 't'], [' 국간장', '1/2', 't'], [' 굵은소금', '1', 't'], [' 다시마', '2', '장'], [' 국물용 멸치', '', '적당히'], [' 페페론치노', '2-3', '개']]",4인분,중급,30분이내,0.039077283,,,7.773173680482536,0.004473624544722554,1.9459101490553132,-0.3657613241991393,
7017024,깻잎쌈밥,8443,473,기타,도시락,쌀,밥/죽/떡,"[['밥', '1', '공기'], [' 참치', '75', 'g'], [' 깻잎', '9-10', '장'], [' 참기름', '2', 't'], [' 소금', '1/3', 't'], [' 고추장', '1/2', 't'], [' 통깨', '', '적당량'], [' 물', '', '적당히']]",1인분,초급,15분이내,0.138917683,1.0,-0.10000000000000003,9.041211408968211,1.2725113530303975,6.161207321695077,3.8495358484406244,0.8999999999999999
7017025,계란 야채죽,2113,16,끓이기,일상,채소류,밥/죽/떡,"[['물', '400', 'ml'], [' 밥', '1', '공기'], [' 양파', '1/4', '개'], [' 당근', '1/8', '개'], [' 대파', '1/3', '대'], [' 계란', '1', '알'], [' 다시마', '1', '장'], [' 국물용 멸치', '2-3', '마리'], [' 소금', '1.5', 't'], [' 후추', '', '적당량'], [' 참기름', '', '적당량']]",1인분,초급,15분이내,0.034766441,,,7.656337166430183,-0.11236288950763029,2.833213344056216,0.5215418708017636,
