RCP_SNO,CKG_NM,REVIEW_RANK_SCORE,ml_predicted_recommend_score,final_recommend_score,recommend_model_version,recommend_score_source
7016814,된장수육,,1.889055555555556,-0.2560864338198028,recommend_model_v2,ml_imputed
7016815,우거지 감자탕,,1.9197301587301552,3.5368531238425525,recommend_model_v2,ml_imputed
7016816,만두전골,,1.6533555555555548,2.2752617352215765,recommend_model_v2,ml_imputed
7016817,무수분보쌈,,1.923352063492063,1.3009619291905765,recommend_model_v2,ml_imputed
7016820,참치 카나페,,1.8248555555555541,2.499403738425075,recommend_model_v2,ml_imputed
7016824,소고기 떡국,,1.9475499999999997,1.2117000242499358,recommend_model_v2,ml_imputed
7016834,대파 간장계란밥,,1.6552555555555537,1.3904688957235043,recommend_model_v2,ml_imputed
7016836,브라운슈가헤이즐넛라떼,,0.6691333333333305,0.10105690785574628,recommend_model_v2,ml_imputed
7016837,떡국,,1.9394377777777785,1.987336009104359,recommend_model_v2,ml_imputed
7016842,짜사이무침,,1.8495999999999997,1.9869426510177555,recommend_model_v2,ml_imputed
7016862,생선초밥,,1.9378020202020219,1.5352713620135559,recommend_model_v2,ml_imputed
7016868,소불고기파스타,,1.0529777777777796,-0.4547658531101484,recommend_model_v2,ml_imputed
7016872,새우샐러드,,1.8332736111111119,1.1283330737606212,recommend_model_v2,ml_imputed
7016873,녹두빈대떡,,1.9299404040404022,4.512205237257343,recommend_model_v2,ml_imputed
7016890,버터구이오징어,,1.894777777777778,1.5465121843660201,recommend_model_v2,ml_imputed
7016893,파계란국,,1.8794611111111093,1.7750838252417194,recommend_model_v2,ml_imputed
7016895,삼겹살김밥,,1.8442722222222205,0.9396496202365179,recommend_model_v2,ml_imputed
7016898,매콤 스팸마요덮밥,,1.9090777777777745,1.6479422486740454,recommend_model_v2,ml_imputed
7016900,고등어 두부조림,,1.9344777777777806,2.6753234971900515,recommend_model_v2,ml_imputed
7016902,깻잎나물볶음,1.94,,3.907027724449661,recommend_model_v2,rule
7016909,계란찜,1.92,,5.9417965765776,recommend_model_v2,rule
7016914,고구마 닭볶음탕,,1.8811222222222213,1.5622137455366654,recommend_model_v2,ml_imputed
7016922,묵은지볶음,,1.825355555555553,1.889415754839132,recommend_model_v2,ml_imputed
7016923,흑임자크림라떼,,1.1954666666666705,0.9567072862924444,recommend_model_v2,ml_imputed
7016926,고구마 피자,1.96,,4.8096563185398296,recommend_model_v2,rule
7016928,들기름 두부지짐,,1.9131444444444423,1.2485001169533099,recommend_model_v2,ml_imputed
7016935,간장계란비빔밥,,0.14479999999999998,-0.02615160800302932,recommend_model_v2,ml_imputed
7016936,일본 카레,1.9,,2.4150624833272887,recommend_model_v2,rule
7016939,홍합밥,,1.9459777777777814,0.5346617893109984,recommend_model_v2,ml_imputed
7016948,양송이 햄버거,,1.9406111111111097,2.472329269569778,recommend_model_v2,ml_imputed
7016950,고구마튀김,,1.3509111111111096,-0.13475078423709053,recommend_model_v2,ml_imputed
7016952,새우 잡채,,1.8038333333333305,0.7428837720977748,recommend_model_v2,ml_imputed
7016963,연근치즈구이,,1.834388888888888,2.130504050458284,recommend_model_v2,ml_imputed
7016964,감자 버터구이,,1.4364555555555543,-0.08462160620183878,recommend_model_v2,ml_imputed
7016972,갈치 간장조림,1.7,,1.184561620518325,recommend_model_v2,rule
7016973,버터갈릭새우,,1.6488055555555554,1.9528651481834876,recommend_model_v2,ml_imputed
7016974,차돌박이된장찌개,1.9,,5.460717782181973,recommend_model_v2,rule
7016979,홍합탕,,1.8883388888888886,1.8789166061196816,recommend_model_v2,ml_imputed
7016981,냉장족발,,1.8563944444444431,0.18585358833991572,recommend_model_v2,ml_imputed
7016983,고추장두부찌개,,1.8557833333333364,0.20813583893085763,recommend_model_v2,ml_imputed
7016993,들깨 무나물볶음,,1.8162499999999986,3.369604635923664,recommend_model_v2,ml_imputed
7016998,해독주스,,1.885099999999999,2.867719564945837,recommend_model_v2,ml_imputed
7017002,오리주물럭,1.96,,5.3311862368572545,recommend_model_v2,rule
7017003,김치 비지찌개,1.96,,2.6854700894791437,recommend_model_v2,rule
7017004,콩나물 무밥,,1.9208999999999974,2.029006977984149,recommend_model_v2,ml_imputed
