id,recipe_id,group_id,star_count,author_name,content,sentimental,score,positive_score,negative_score
1,7016902,146,5,kim,깻잎나물 맛있죠!! 향긋한 향과 부드러운 식감이 아주 좋습니다.,positive,0.9923,0.9923,0.0077
2,7016909,21,5,Alberta Kim,달달한 맛이에요:),positive,0.9827,0.9827,0.0173
3,7016926,771,5,은쌤♥,오늘 아침 식사로 저희 가족들 맛있게 잘 먹었어요^^ 담엔 토마토 미트소스랑 같이 섞어서 구워먹어도 맛있을것같아요~ 맛난 레시피 감사합니다♡,positive,0.9923,0.9923,0.0077
4,7016936,619,5,승년,감사합니다,negative,0.6594,0.3406,0.6594
5,7016972,543,5,복동방글,단짠단짠입니다. 제가 요리한 조림국물색은 좀 연하네요. 냉동순살갈치로 요리해서 잘 먹었습니다.,positive,0.9886,0.9886,0.0114
6,7016974,571,5,샐리가든,티비에서 보고 만들어 먹어봐야지 했는데 해먹어보니 맛있어서 식구들이 좋아했어요. 추가로 간은 안했어요. 미리 사진을 못찍어서 글로만 남깁니다.,positive,0.9794,0.9794,0.0206
7,7017002,485,5,미소천사g,레시피대로 햇더니 맛잇게 잘먹엇어요 감사해요 ~^^,positive,0.9922,0.9922,0.0078
8,7017003,905,5,클로우버,맛있어서 놀랐어요 레시피 최고네요^^,positive,0.9923,0.9923,0.0077
9,7017012,575,5,서린이아빠,It's sooooooo good!!!,positive,0.959,0.959,0.041
10,7017024,252,5,구구굵,맛있는데 참치양념?간이 좀 쎘어요!,positive,0.8919,0.8919,0.1081
11,7017033,671,5,양열,맛이 괜찮네요. 고깃집 반찬으로 한번 만들어봤습니다. 일반 무생채가 아니니~신박합니다,positive,0.9886,0.9886,0.0114
12,7017089,361,5,노승택은빛평화,만들때 벚더 때문에 느끼할줄 알았는데 엄처만납니다. 간단하고요. 감사합니다,positive,0.9917,0.9917,0.0083
13,7017097,213,5,カンちゃん,잘 먹었습니다. 당근 채썰어 넣으니 이쁘네요~ 다음엔 파 초록잎도 조금 넣어보고 싶네요.,positive,0.9907,0.9907,0.0093
14,7017097,636,5,써니1202,"다이어트중인모녀 맛있게,든든한저녁 해결했습니다~~^^",positive,0.992,0.992,0.008
15,7017097,513,5,박소현,조리법은 간단한데 맛은 최고입니다,positive,0.9873,0.9873,0.0127
16,7017097,133,5,hye u,기대되네요! 집에있는 재료로~~~^^,positive,0.9911,0.9911,0.0089
17,7017097,795,5,이종훈,쉽고 빠르고 대단히 맛있어요,positive,0.9909,0.9909,0.0091
18,7017097,750,5,위슬,맛있었어요.,positive,0.9299,0.9299,0.0701
19,7017097,67,2,Michelle,식초가 좀 많은듯해요 시큼해요,negative,0.8638,0.1362,0.8638
20,7017106,498,5,바다바다,맛있는 레시피였어요! 감사합니다,positive,0.9914,0.9914,0.0086
21,7017106,333,5,꿀럿,맛있었어요 ㅎ,positive,0.9619,0.9619,0.0381
22,7017130,672,5,양초딩,고소한 소스네요~ 브로콜리를 참깨소스에 버무리니 색다른 맛이예요~ 잘 먹을께요^^,positive,0.9902,0.9902,0.0098
23,7017130,696,5,염소미,브로콜리 나물만 해먹다가 참깨소스 넘맛나요,positive,0.9919,0.9919,0.0081
24,7017181,476,5,미나(서희.서현맘♥),아주 맛있네요 감사합니다,positive,0.9333,0.9333,0.0667
25,7017181,253,5,구니,놈놈 맛나네요 ㅎㅎ,positive,0.9792,0.9792,0.0208
26,7017181,300,5,김유영,엄청맛있어용 ㅎㅎ,positive,0.9883,0.9883,0.0117
27,7017181,531,5,베어돌이,너무 맛있습니다^^,positive,0.9875,0.9875,0.0125
28,7017200,315,5,까용,손쉬워서 좋았ㅇ어요,negative,0.9534,0.0466,0.9534
29,7017225,584,5,선주,"간편하고 맛있어요, 저는 냉동새우 대신 마른새우로 했는데 냉동새우가 더 맛있을 거 같긴 해요. 좋은 레시피 감사해요^^",positive,0.9922,0.9922,0.0078
30,7017255,166,5,oooos,두부 안먹던 둘째가 엄지척을 했어요 덕분에 즐거운 식사시간이 되었답니다^^,positive,0.992,0.992,0.008
31,7017255,672,5,양초딩,들기름에 구어 너무 고소하네요~ 비주얼도 좋구요~ 아이가 맛있데요~ 감사해요^^,positive,0.9924,0.9924,0.0076
32,7017255,480,5,미도,양념 도 너무찰떡이고 그대로 따라했더니 너무 맛있어요,positive,0.992,0.992,0.008
33,7017291,856,5,진성댁,정말맛있어요!,positive,0.9892,0.9892,0.0108
34,7017291,150,4,kotare,ㅁㅏㅅ잌ㅅ엌ㅅ어료!,positive,0.9585,0.9585,0.0415
35,7017292,495,5,민이,두부없이했는디도 맛있게 잘되었어요,positive,0.9917,0.9917,0.0083
36,7017300,149,5,kmmmf,"정말 쉽고 빠르고 간편하고 들러붙지 않아요. 계란 넣을때가 핵심인거 같아요. 너무 천천히도 저처럼 한번 팍 넣으면 부분적으로 붙을수도 있어요. 남자도 진짜 단 5분이면 끝 ㄹㅇ 정말 맛있고, 육수물 넣넣는게 최적인거 같아요. 없어도 상관없고 잘먹었슴돠!!",positive,0.9923,0.9923,0.0077
37,7017300,508,5,박미소,물이 쫄아서 조금 짰나봐요 소금을 너무 많이 넣었나 싶기도 해요 지만 정말 맛있게 성공했어요 다음번엔 더 잘할 수 있을 듯,positive,0.9898,0.9898,0.0102
38,7017300,748,5,원시빤다,신랑이 계란찜을 좋아하기도하지만 정말 잘먹네요. 맛있는 레시피감사합니다~~,positive,0.9919,0.9919,0.0081
39,7017300,832,5,조영동,간단하고 맛있어요!,positive,0.9908,0.9908,0.0092
40,7017342,17,5,99angel,남편끓여줬는데 두그릇 먹네요!! 별거 안들어가는데도 얼큰시원 넘 맛나요,positive,0.9922,0.9922,0.0078
41,7017353,172,5,qwqw,참기름이 킥이내요. 단계별로 간을 봤는데 굴스스 넣어도 빈맛이 나는데 마무리 참기름 넣으니까 완성되내요.,negative,0.9923,0.0077,0.9923
42,7017397,75,5,Ooops!^^,오늘 12식구 달달한 포도주로 해서( 파인애플 생략) 레시피대로 했더니 너무 너무 맛있다고 고기가 동났어요.^^거기다 쌍화탕도 하나씩 넣어 응응했더니 건강해지는것같아 좋았어요.감사합니다.,positive,0.9923,0.9923,0.0077
43,7017413,278,5,김모씨,저는 먹기 편하게~친구들에게 미니 타르트로 만들어 선물했더니~맛있고 예쁘다고 다들 좋아하네요^^맛있는 타르트 레시피 감사드립니다 ~~^ ^~~,positive,0.9924,0.9924,0.0076
44,7017432,143,5,jss,너무 따라하기 쉽게 해서 내가 해도 정말 맛있게 잘먹었어요 감사해요,positive,0.992,0.992,0.008
45,7017433,177,5,sk4639,간단하고 맛있어요,positive,0.9803,0.9803,0.0197
46,7017458,843,5,준빈맘♥♥,다이어트중인데 계란이랑 샐러드만 먹다가 간만에 너무너무 맛있게 먹었어요~ 내일아침도 또 해먹으려고 미역 미리 불려 놓을거에요~~^^,positive,0.9923,0.9923,0.0077
