id,recipe_id,group_id,star_count,author_name,content,sentimental,score,positive_score,negative_score
47,7017463,241,5,견우,맛있게 잘 해서 먹었습니다~ 감사해요!,positive,0.9913,0.9913,0.0087
48,7017473,847,5,지누셴맘,반건조 학꽁치로 만들었어요. 땡초가 없어서 얼려놓은 땡초를 다져서 넣었는데 그래도 맛있었어요. 덕분에 감사히 먹었습니다,positive,0.9912,0.9912,0.0088
49,7017499,145,5,keri,소금간을 잘 못맞춰서 약간 싱겁긴했는데 그래도 너무 맛있었어요!,positive,0.9913,0.9913,0.0087
50,7017512,628,5,신씨부녀,처음 만들어 봤는데 너무 너무 맛있어요. 양념만 따로 먹을 정도로 맛있어요^^ 아이가 다 먹고 나서 또 만들어 달라네요. 좋은 레시피 감사해요^^,positive,0.9923,0.9923,0.0077
51,7017519,486,5,미써니,너무 맛있네요 배추가 조금 커서 양조간장은 한스푼 더 넣었어요 종종 많이 해 먹을것같애요 레시피 감사합니다~~^^,positive,0.9922,0.9922,0.0078
52,7017570,873,5,철기박,넘감사합니다.청국장을좋아해서 레시피되로따라해보니 맛나요.잘먹게습니다.,positive,0.9923,0.9923,0.0077
53,7017580,824,5,정연순,흑설탕이 없어서 다른걸로했더니 색갈이 안나와서 맛은 좋아요 감사,positive,0.9669,0.9669,0.0331
54,7017594,739,5,용용,덕분에 아주 맛있게 잘 먹었어요!,positive,0.9918,0.9918,0.0082
55,7017596,659,5,알딸딸허요 !,징허게맞있소,negative,0.9742,0.0258,0.9742
56,7017598,148,5,kkb,너무맛잍게되엇습니다.감사합니다^^,positive,0.9567,0.9567,0.0433
57,7017602,611,5,숙현재모건모♥,맛있게 잘 해먹었습니다~,positive,0.9863,0.9863,0.0137
58,7017620,521,5,박혜진,베이컨이없어서 어묵을 넣어서 만들어봤어요 치킨스톡대신 참치액을 넣는것도 좋네요 너무 쉽고 맛있게 해먹었네요^^,positive,0.9922,0.9922,0.0078
59,7017631,106,5,bbibb,정말 좋습니다.,positive,0.8797,0.8797,0.1203
60,7017631,820,5,전주영,맛있다,positive,0.8557,0.8557,0.1443
61,7017631,88,1,WOONHAK,제가 잘못만든건가요?ㅠ 너무 맛없어요..맛있을줄알았는데..ㅠㅠ,negative,0.9973,0.0027,0.9973
62,7017649,222,5,가나다,진짜 맛있어요. 다이어트하면서 배추를 많이 먹어봤는데 이렇게 먹을 생각을 왜 못했을까요. 정말 강추. 만들기도 쉽고 맛있어요. 저당데리소스 발라서 먹으면 짱 맛있어요. 강추!,positive,0.9923,0.9923,0.0077
63,7017649,672,5,양초딩,생각보다 배추가 잘 말리더라구요~ 잘 다이어트 식단으로 먹었어요~ 감사해요^^,positive,0.9922,0.9922,0.0078
64,7017649,232,5,강래경,정말 똥손인데 해냈어요..! 맛있어서 금방 해치움 ㅠㅠㅠ,positive,0.9918,0.9918,0.0082
65,7017655,684,5,에이치원,고기 쌀때는 찢어져서 힘들었는데 흐트러지지 않고 잘익었네요 남편이 건강한 맛이라고 자주 해먹자네요ㅎㅎ,positive,0.9866,0.9866,0.0134
66,7017660,909,5,타코와사비사랑,아이랑 남편이 맛있다며 잘 먹어주었어요! 사진은 깜박하고 못 찍었어요! 좋은 레시피 너무 감사드립니다 ♡,positive,0.9923,0.9923,0.0077
67,7017660,858,5,짱웅,늘 도움 잘 받고 있습니다 맛있게 잘 만들었습니다 감사합니다,positive,0.9905,0.9905,0.0095
68,7017660,672,4,양초딩,조금 싱거워서 먹을 때 위에 케찹을 뿌려먹었어요~ 조리과정도 간단하고 모양도 예쁘네요~ 잘 먹었습니다^^,positive,0.9922,0.9922,0.0078
69,7017663,303,5,김은태,최고. 많은도움,positive,0.9881,0.9881,0.0119
70,7017732,666,4,야옹이야~,양념이 골고루 묻혀서 조리하는게 신선하네요 아이들 입맛에 맞는 요리였어요~~어른들은 고추장더 넣고 맵게 해드셔도 좋을듯해요~~^^,positive,0.992,0.992,0.008
71,7017738,307,5,김지연,정말 너무 맛나네요~,positive,0.9891,0.9891,0.0109
72,7017747,516,5,박은정,쉽고간단하고 맛있어요. 양파만 채썰어서 추가해서 넣어줬어요. 밥말아먹으니.. 뜨끈하고 넘 조으네요^^,positive,0.9924,0.9924,0.0076
73,7017747,672,5,양초딩,시간이 오래걸려서 그렇지 요리과정은 어렵지 아나요~ 닭을 푸~욱 삶아서 그런지 살도 잘 발라지네요~ 건강하게 잘 먹을께요~감사해요^^,positive,0.9918,0.9918,0.0082
74,7017763,327,5,꽃새우파스타,손이 많이 가긴 했지만 색다른 애호박전에 가족들 모두 호응이 좋았습니다^^ 맛있게 잘 먹었어요!,positive,0.9923,0.9923,0.0077
75,7017773,417,5,락현미미,맛있다고하네요 우리집 레시피가되겠네요,positive,0.99,0.99,0.01
76,7017773,198,5,yuuuuu,아이가 잘 먹어요 감사합니다!!,positive,0.9914,0.9914,0.0086
77,7017780,49,5,JH,맛있을거 같아요~~잘보고 가요.,positive,0.9853,0.9853,0.0147
78,7017809,181,5,ssoo1029,별다른 간이 없어서 맛이 있으려나 싶었지만 재료 소진하려고 해봤는데 엄청 맛있어요~~!!! 후기 잘 안남기는데 넘 맛있어서 감사하다고 말씀드리고 싶어 남깁니다!^^,positive,0.9922,0.9922,0.0078
79,7017809,55,5,Jihyeoniii,버터가 들어갔지만 건강한 맛..? 슴슴하게 먹을만해요 아이는 계란만 골라먹네요ㅠㅋㅋ,positive,0.9436,0.9436,0.0564
80,7017809,285,5,김서이,간이 정말 알맞게 잘 맞는것같아요~ 요즘식단관리하느라 다이어트도하면서 건강도챙기고 노력하는중인데ㅋ 버터가퀵이였네요?ㅋ 맛있는레시피 감사합니다,positive,0.9924,0.9924,0.0076
81,7017809,296,5,김영주,버터가 없어 식용유로 했는데도 맛있어요. 썪어 내버리려던 시금치를 살리다니 백종원 만세!! 루나님도 만세!!,positive,0.9921,0.9921,0.0079
82,7017809,672,5,양초딩,아이 이유식으로 시금치 쓰고 남아서 만들었어요~ 버터를 넣어 맛이 풍부하니 좋네요~ 짭짜름하니 맛있네요~ 잘 먹을께요^^,positive,0.9923,0.9923,0.0077
83,7017809,189,5,v융융v,버터로 만드는건 상상도 못했는데 고소하고 맛있어요 ㅎ,positive,0.9919,0.9919,0.0081
84,7017809,373,5,다해먹어주겠어,방금 해먹었는데 왕맛있습니다,positive,0.9906,0.9906,0.0094
85,7017832,968,5,홍희권,쉽게 맛있게 만들었어요-^^,positive,0.9906,0.9906,0.0094
86,7017832,801,5,이혜숙,밥도둑 되겠네요,positive,0.9796,0.9796,0.0204
87,7017870,948,5,항상 웃는모습으로 ~,맛나게 먹었습니다,positive,0.9605,0.9605,0.0395
88,7017881,774,5,은쥬♡,레시피 보고 쉽게 했어요 다음에 하면 더 맛있게 할 수 있을것 같아요,positive,0.9905,0.9905,0.0095
89,7017881,533,5,변신석,가족끼리 잘 먹었습니다,positive,0.9828,0.9828,0.0172
90,7017896,122,5,gorud202,"너무 맛있어요 콩나물이 있어서 아삭하면서 매콤, 고소. 살짝 단맛이 어우러져 너무 맛있어요.",positive,0.9919,0.9919,0.0081
91,7017896,145,5,keri,너무너무 맛있어요! 요리 고수이시네요!,positive,0.9921,0.9921,0.0079
92,7017896,697,5,영화,간도 딱!!! 인기 좋은 음식이였어요~^^,positive,0.9924,0.9924,0.0076
93,7017896,320,5,깡보랑,맛잇어요,positive,0.9128,0.9128,0.0872
94,7017897,609,5,수빈,집에 떡국떡 밖에 없어서 그냥 해봤는데 맛있네요 가래떡이였음 더 맛있었을듯요,positive,0.9905,0.9905,0.0095
95,7017897,115,5,dohya,맛잇게 아들내미잘해줘써요~,positive,0.9918,0.9918,0.0082
96,7017918,205,5,♡사랑해♡,간단하면서도 너무 맛있어요,positive,0.9907,0.9907,0.0093
97,7017918,245,5,고구마사랑,맛있네유~~~,positive,0.9623,0.9623,0.0377
98,7017935,908,5,타인e,제대르 만들었어요 ㅎㅎ 잘먹겠습니다 ⏝,positive,0.9858,0.9858,0.0142
99,7017935,817,5,쟁가,너무 맛있게 만들어 먹었습니다~,positive,0.988,0.988,0.012
100,7017935,372,5,다찌엄마,밥 반찬으로 술안주로 딱이예요,positive,0.9917,0.9917,0.0083
101,7017935,200,5,союн,정말최고입니다,positive,0.9879,0.9879,0.0121
102,7017972,720,5,요꼬하마,레시피를 어쩜 이리쉽고 간결하게 잘 써주셨는지요 초등학생도 보고 만들수있겠어요. 저도 집밥 정말 힘들어하는데 쉽게 따라할수있었어요 정말 감사해요,positive,0.992,0.992,0.008
103,7017978,706,5,오니마밍♥호야홀릭,매번 실패하던 진미채~~ 이번에 너무 맛나게 되서 조아용^^!!! 반찬가게에서 파는거 같아요^^,positive,0.9923,0.9923,0.0077
104,7018013,632,5,실프정,냉장고에 있는 버섯이랑 야채 넣고 끓여봤는데 맛나요^^감사요,positive,0.9923,0.9923,0.0077
105,7018022,501,5,바람,좋아요 따라했어요,positive,0.9142,0.9142,0.0858
106,7018059,16,5,5G0,바다내음이 가득!! 너무 쉬운데 맛있었어요~~~레시피 짱,positive,0.9922,0.9922,0.0078
107,7018130,863,5,쭈노당,일본 덮밥은 쉽고 재밌네요 맛은 짜쪼름하니 맛있네요 최고,positive,0.9852,0.9852,0.0148
108,7018178,879,5,초앵,너무 맛있었어요 잘 먹었습니다~~,positive,0.9876,0.9876,0.0124
109,7018178,701,4,예콩이,요리못하는저도 할수있겠지만..요리가 자신이없네요,negative,0.9577,0.0423,0.9577
110,7018212,153,5,lehavre86,감사해요 코스트코에서 산 대용량 연어 맛있게 잘 손질해 먹었어요,positive,0.9916,0.9916,0.0084
111,7018219,298,4,김용환,레시피보고 했는데. 처음해본 비지찌게감사합니다 잘먹겠습니다(ɔ ˘⌣˘)˘⌣˘ c)♡,positive,0.991,0.991,0.009
112,7018259,30,5,Clannad,"저는 쇠고기로 육수를 냈는데요, 배추만 넣고 끓였을 때보다 무를 좀 추가하니 정말 더 시원하고 맛있는 것 같아요^^",positive,0.9922,0.9922,0.0078
113,7018259,672,5,양초딩,영양만점 국 완성이요~ 잘 먹을께요^^,positive,0.9912,0.9912,0.0088
114,7018259,905,5,클로우버,맛있어요 덕분에 잘먹었습니다~,positive,0.9904,0.9904,0.0096
115,7018265,646,5,아리샘,아웃! 고급스러운 음식입니다. 맛있게 먹었어요~,positive,0.9922,0.9922,0.0078
116,7018269,406,5,또또,오 맛있어요 !! ㅋㅋㅋ 제가 만든거 맞나싶을정도로 맛있게 먹었어요 요리초보인데도 쉽게 따라하기 가능~ 전 설탕 한숟갈 덜 넣었어요 그래도 달짝지근했어요 굿굿,positive,0.9923,0.9923,0.0077
117,7018269,455,5,맛있는요리를찾는한사람,맛있게 잘 먹었습니다 ^^,positive,0.9861,0.9861,0.0139
118,7018270,672,5,양초딩,딱히 양념을 많이 하지도 않았는데 맛있네요~ 다음에도 하고 싶어요~ 잘 먹을께요^^,positive,0.992,0.992,0.008
119,7018270,583,5,선우일산,아주 맛있어요 자극적이지않고 담백하니 좋아요,positive,0.9919,0.9919,0.0081
120,7018273,599,5,손경희,저희 엄마가 맛있게먹었다고 하시니 나중에 또 해서 먹자고 하였습니다^^♡,positive,0.9923,0.9923,0.0077
121,7018278,672,5,양초딩,먹음직스럽고 맛있네요~ 아이반찬으로 했는데~아이가 좋아할것 같아요~ 감사합니다^^,positive,0.9922,0.9922,0.0078
122,7018278,159,5,mang082,아이 반찬으로 했는데 넘 맛있어요 저는 파프리카도 마지막에 넣어줬더니 색감 이쁘죠~^^,positive,0.9923,0.9923,0.0077
123,7018278,299,5,김유미,오뎅볶음 맛있게 했어요~~~ 마늘 먼저 볶고 양념장 따로 만드는것은 처음이었네요~~,positive,0.9898,0.9898,0.0102
124,7018278,239,5,개똥이네,"편식 심한 저희 4살아들 입벌리고, 3살 딸 계속 달래요!!! 맛있데요^^",positive,0.9916,0.9916,0.0084
125,7018278,923,5,포도,오 맛있어요ㅎㅎ 전 설탕1스푼 빼도 맛있네요,positive,0.9914,0.9914,0.0086
126,7018278,680,5,엄미나,맛있어요^-^대파가 뚝떨어져서 못넣었네요.,positive,0.9909,0.9909,0.0091
127,7018278,472,5,뭉이누나,맛있게 잘 됐네요 달기도 딱 적당,positive,0.9906,0.9906,0.0094
128,7018278,908,5,타인e,맛나게 잘먹겠습니다,positive,0.9478,0.9478,0.0522
129,7018278,357,5,냥댕이,너무 맛있네요:),positive,0.9833,0.9833,0.0167
130,7018288,504,5,바보귤,여기에 간장2 물엿1 식초1 다진마늘1/2 청양고추한개 섞어서 소스 만들어서 (유튜브 1분다이어터님 레시피) 찍어먹으면 대 존 맛,positive,0.9449,0.9449,0.0551
131,7018288,516,5,박은정,"요리법도 간단하고 건강하고 맛있어서 온가족이 아주 맛있게 즐겼습니다! 최고예요~ 노브랜드 샤브용 고기 사용했는데 엄청 부드러웠습니다. 레몬즙, 쯔유, 땅콩버터, 마늘, 설탕 넣고 소스 만들어 맛있게 먹었어요~감사합니다.",positive,0.9923,0.9923,0.0077
132,7018288,104,5,areum,"마트에 갔는데 야채(알배추, 청경채, 숙주, 버섯)를 담고 고기 코너를 봤더니 돈육대패삼겹살만 있고 샤브샤브용 한우는 비싸서.. 앞다리 수육살은 두껍고 해서 아주머니가 기름기 없는 장조림용 사태를 추천주셨는데 한끼 먹으면 순삭 일것 같고 우삼겹(수입산 쿠팡 저렴함)은 기름이 많이 나올 것 같아 냉동 닭가슴살로 대체해 후딱 맹글었엉 소화 잘되고 다이어트 식으로 먹기에 편해요~ 감사해용!",positive,0.9912,0.9912,0.0088
133,7018288,65,5,MelissaKim,만들기 쉬웠어요.. 소금을 빼먹었는데 고기소스찍어먹었습니다ㅋㅋ,positive,0.9887,0.9887,0.0113
134,7018288,665,5,야매요리,간단하고 맛있어요!!ㅎㅎ 좋은 레시피 감사합니다~~,positive,0.9923,0.9923,0.0077
135,7018288,838,5,주부2단,진짜 너무너무 맛있었어요!!!! 최고!!!,positive,0.9923,0.9923,0.0077
136,7018288,7,5,...,아이들이.너무 맛나게먹었습니다,positive,0.9911,0.9911,0.0089
137,7018288,22,5,Anna,간단하고 맛있어요!!! 강추에요,positive,0.9919,0.9919,0.0081
138,7018288,973,5,황영선,눈돌아가게 맛있어요,positive,0.9892,0.9892,0.0108
139,7018291,780,5,이난영,"먹다가 찐 맛있어서 후기 남깁니다. 레시피 그대로 했고, 된장 맛 나는거 안좋아해서 된장만 뺐습니다. 덕분에 정말 맛있게 먹었습니다.",positive,0.9902,0.9902,0.0098
140,7018291,12,5,2024년 갑진년 용띠해,고맙습니다 ~~~^^ 첨 으로 해봤어요~~~,positive,0.9723,0.9723,0.0277
141,7018291,804,5,인천시민,감사합니다,negative,0.6594,0.3406,0.6594
142,7018298,592,5,세진,아침에ㅠ먹고 남은거라 사진이 이쁘진 않지만 맛잇어요 ㅎ,positive,0.9891,0.9891,0.0109
143,7018309,849,5,지연,진짜 맛있어요!!!계란국 처음 해보는데 후반에 소금으로 간 하니까 완전 딱인거 같아욤!! 준비 재료도 간단하니 요리초보도 손쉽게 만들 수 있는거 같아요ㅎㅎㅎㅎ남자친구도 엄청 극찬했어요!!,positive,0.9923,0.9923,0.0077
144,7018309,920,5,팽귄67,정말 맛있게 먹었어요,positive,0.9738,0.9738,0.0262
145,7018329,437,5,리리,덕분에 맛있게 잘 해먹였어요 아기가 잘 먹네여,positive,0.9918,0.9918,0.0082
146,7018332,367,5,다다,심심하니 아기 먹기 좋아요! 저희 애는 6살이라 간을 좀 더 해야해서 멸치액젓 1티스푼에 소금간 더해서 맛있게 먹었어요 제가 더 맛있게 먹은듯요,positive,0.992,0.992,0.008
147,7018342,112,5,danungeee,재료만 있으면 간단하게 일본 음식 맛이 나네요 너무 맛있어요^^!,positive,0.9922,0.9922,0.0078
148,7018458,56,5,Jihyun Park,너무 맛있게 잘 먹었어요!,positive,0.9914,0.9914,0.0086
149,7018479,119,5,evelyn 이내,남편이랑 간단하게 잘먹었습니당 감사해요~ 이따가 먹을거라 랩으로 덮어놓고 찍었습니다,positive,0.9921,0.9921,0.0079
150,7018490,382,5,더워도 푸르름 속에 있으니 좋구나~,점심에 레시피보고 후다닥~~ 맛있게 먹었어요 29개월 울강쥐도 밥한그릇 뚜딱했어요,positive,0.9853,0.9853,0.0147
151,7018499,735,5,요린이새댁,들기름 대신 고기기름으로 볶았어요 급히 레시피 찾아보고 따라했는데 너무 맛있는 저녁식사였습니다 감사해요~,positive,0.992,0.992,0.008
152,7018516,32,5,DOING,봉주르... 감사이 잘 먹겠습니다. 고마워요...,negative,0.76,0.24,0.76
153,7018518,807,5,일어나라,간편하고 맛 좋네요^^ 감사합니다~~~,positive,0.9895,0.9895,0.0105
154,7018524,811,5,임수희,큰거 4장분량 엄청 맛있어요,positive,0.9909,0.9909,0.0091
155,7018535,18,5,:소확행:,쉬운레시피로 뚝딱..맛도 좋아여.. 저는 쯔란에 찍어먹었어여..별미에여..,positive,0.9917,0.9917,0.0083
156,7018556,934,5,하늘속바다,느끼하지않고 고소한 스프가됐어요 처음만들어본건데 감사합니다,positive,0.9837,0.9837,0.0163
157,7018589,682,5,엄정원,남편이 양구무청을 엄청 좋아해요! 넘~맛있다고 한끼에 400g을 클리어 했어요~^^ 사진을 못 올려서....ㅎ 저녁에는 800g 하려합니다 레시피 넘 감사합니다~^^,positive,0.9923,0.9923,0.0077
158,7018589,158,5,mandooc,정말 딱 제가 원하는 시래기나물 맛이에요 ㅠㅠㅠ시골맛나고 넘 맛잇어요,positive,0.9917,0.9917,0.0083
159,7018589,23,5,Bona,간편하고 쉽게 만들었어요 맛도좋구요~,positive,0.9916,0.9916,0.0084
160,7018589,688,5,엠버99,덕분에 맛나게 먹었습니다~ 고맙습니다,positive,0.9902,0.9902,0.0098
161,7018599,481,5,미라:),"반은 참치만넣고 반은 김치 같이 넣었는데, 김치를 추가하는게 더 맛잇는거 같아요^^",positive,0.9834,0.9834,0.0166
162,7018617,499,5,바둑이네 멍뭉이,레시피가 어렵지 않은데 정말 맛있는 한 끼가 완성되어 좋았습니다!,positive,0.9921,0.9921,0.0079
163,7018617,54,5,Jenesaisquoi,비주얼도 맛도 넘좋아요 국물이 아주 최공,positive,0.9916,0.9916,0.0084
164,7018622,138,5,jdspps313,그 동안 무수분 수육을 주무기로 사용해 왔는데 편스토랑 명쉐프 버전으로 시도했는데 완전 성공. 너무 맛나요,positive,0.9919,0.9919,0.0081
165,7018622,386,5,동구랑땡,맛있게 잘 먹었습니다,positive,0.9187,0.9187,0.0813
166,7018627,714,5,온유하다,아이가 아파서 입맛이 없어보여서 만들었는데 만들기도 간단하고 맛도 있었어요 레시피 감사합니다,positive,0.9915,0.9915,0.0085
167,7018627,288,5,김소용돌이,초1 아이가 엄청 잘먹어요 학교가기전 간단하게 아침먹이기 좋으네요 ㅜㅠ 감사합니다,positive,0.9922,0.9922,0.0078
168,7018627,933,5,하나♡,간단한 아침 식사로 넘 좋아요~~,positive,0.9918,0.9918,0.0082
169,7018627,554,5,브로콜리너마저88,맛있어요! :),positive,0.9865,0.9865,0.0135
170,7018641,394,5,둥이맘,홍콩에서 사온 에그누들에 라면스프 대신 굴소스로 간했는데 맛이 괜찮았어요.,positive,0.99,0.99,0.01
171,7018646,951,5,핸주,맛있게 잘 먹었어요,positive,0.9475,0.9475,0.0525
172,7018673,813,5,작은고미,너무 맛있네요,positive,0.9614,0.9614,0.0386
173,7018675,958,5,현미,아주 맛있읍니다,positive,0.9757,0.9757,0.0243
174,7018676,452,5,맘마맘마마,요거 정확하네욤 ^^,positive,0.9907,0.9907,0.0093
175,7018701,703,5,오기♥️,맛있어요,positive,0.8078,0.8078,0.1922
176,7018717,502,5,바리데기마마,맛있게 만들어 졌어요. 제가 요리를 좋아하지 않아요. 남편이 코다리 조림을 좋아한다고 해달라고 해서 만들었어요~~^^,positive,0.9893,0.9893,0.0107
177,7018717,971,5,황금왕자맘,고추없어 대파를 넣었어요 저희집은 조금 달게 됐네요 단맛을 조금 덜 하면 될듯.. 주말 아침식사로 기대 됩니다,negative,0.8477,0.1523,0.8477
178,7018717,400,5,디오스혜나,요리당을 너무많이 넣었나봐요ㆍ달달이코다리조림이되었네요ㆍ맛나게 먹었습니다ㆍ,positive,0.9801,0.9801,0.0199
179,7018717,490,5,미형이,너무 맛있는 레시피에요~,positive,0.9916,0.9916,0.0084
180,7018734,863,5,쭈노당,"어묵볶음밥 만들었어요 맛도 있고 추가로 베이컨,비엔나 넣었어요 양파와애호박이 없어서 생략했어요",positive,0.91,0.91,0.09
181,7018734,487,5,미영이언니,볶음밥하기 좀 어렵다고 생각했는데 가장 맛있게 됐어요 잘 먹었습니다,positive,0.9914,0.9914,0.0086
