ingredient_id,name,recipe_ids,recipe_count
1,2배 사과식초,[7031387],1
2,2배 식초,"[7023762, 7027282, 7027453]",3
3,2배사과 식초,[7021010],1
4,2배사과식초,[7020229],1
5,a1스테이크소스,[7024950],1
6,la갈비,"[7028715, 7034483, 7034484]",3
7,msg,"[7019396, 7031348]",2
8,가는 대파,[7035661],1
9,가는소금,"[7020640, 7021262, 7021263, 7021679, 7025034, 7025599, 7027007, 7028639, 7028713, 7031057]",10
10,가다랑어포,[7030671],1
11,가래떡,"[7018429, 7020401, 7021020, 7025679, 7027340]",5
12,가루 육수,"[7018903, 7021337]",2
13,가리비,"[7021485, 7024210]",2
14,가리비관자,[7029085],1
15,가문어,"[7021649, 7027235]",2
16,가스오부시,[7018574],1
17,가시오가피,[7030363],1
18,가쓰오국물 쯔유,[7018179],1
19,가쓰오부시,"[7018179, 7018342, 7018347, 7018569, 7019470, 7020057, 7022079, 7022164, 7022490, 7024312, 7024705, 7028683]",12
20,가염버터,"[7021271, 7028410]",2
21,가오리,[7020599],1
22,가오리 살,[7024094],1
23,가이리 멸치,[7021562],1
24,가자미,"[7019547, 7020387, 7026070, 7028484, 7032645]",5
25,가지,"[7019052, 7019543, 7019827, 7020109, 7021364, 7021875, 7022684, 7024286, 7024545, 7025305, 7027000, 7027024, 7027520, 7027731, 7028391, 7028997, 7029159, 7029259, 7029534, 7029648, 7029881, 7030053, 7030216, 7030372, 7030647, 7031022, 7031255, 7031407, 7031686, 7031732, 7031744, 7032843, 7032984, 7033082, 7033715, 7034535, 7035661, 7035668, 7039557, 7039682]",40
26,각종 야채,"[7025141, 7030210]",2
27,간 검정깨,[7027576],1
28,간 깨,"[7021289, 7022510, 7023158, 7023311, 7029434, 7033297, 7033940, 7035668]",8
29,간 마늘,"[7018144, 7020167, 7022129, 7022332, 7025551, 7025990, 7026611, 7027088, 7027433, 7027576]",10
30,간고등어,"[7019196, 7022489]",2
