RCP_SNO,CKG_NM,ingredients_raw,aliases_matched,ingredients_normalized,others_count,others_items
7016814,된장수육,"[[""돼지고기 수육용삼겹살"", ""500"", ""g""], [""된장"", ""1.5"", ""큰술""], [""술"", ""4"", ""큰술""], [""홍어무침"", """", """"], [""무생채"", """", """"], [""콩나물무침"", """", """"]]","[{""alias_id"": ""alias_0843"", ""name"": ""삼겹살""}, {""alias_id"": ""alias_0157"", ""name"": ""된장""}, {""alias_id"": ""alias_0251"", ""name"": ""술""}, {""alias_id"": ""alias_0688"", ""name"": ""홍어""}, {""alias_id"": ""alias_0617"", ""name"": ""콩나물""}, {""alias_id"": ""alias_0559"", ""name"": ""무""}]","[[""삼겹살"", ""500"", ""g""], [""된장"", ""1.5"", ""큰술""], [""술"", ""4"", ""큰술""], [""홍어"", """", """"], [""무"", """", """"], [""콩나물"", """", """"]]",0,[]
7016815,우거지 감자탕,"[[""돼지등뼈"", ""1.5"", ""kg""], [""양파"", ""1/2"", ""개""], [""감자"", ""1"", ""개""], [""대파"", ""1"", ""대""], [""알배기배추"", ""1/2"", ""개""], [""청양고추"", ""2"", ""개""], [""깻잎"", ""10~15"", ""장""], [""고추장"", ""2"", ""t""], [""다진마늘"", ""1"", ""t""], [""간장"", ""3"", ""t""], [""고춧가루"", ""3"", ""t""], [""액젓"", ""3"", ""t""], [""다진생강"", ""1"", ""t""], [""다시다"", ""1"", ""t""], [""들깨가루"", ""3"", ""t""]]","[{""alias_id"": ""alias_0591"", ""name"": ""양파""}, {""alias_id"": ""alias_0318"", ""name"": ""감자""}, {""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0562"", ""name"": ""배추""}, {""alias_id"": ""alias_0527"", ""name"": ""청양고추""}, {""alias_id"": ""alias_0529"", ""name"": ""깻잎""}, {""alias_id"": ""alias_0151"", ""name"": ""고추장""}, {""alias_id"": ""alias_0552"", ""name"": ""마늘""}, {""alias_id"": ""alias_0140"", ""name"": ""간장""}, {""alias_id"": ""alias_0155"", ""name"": ""고춧가루""}, {""alias_id"": ""alias_0036"", ""name"": ""액젓""}, {""alias_id"": ""alias_0574"", ""name"": ""생강""}, {""alias_id"": ""alias_0099"", ""name"": ""다시다""}, {""alias_id"": ""alias_0279"", ""name"": ""들깨가루""}, {""alias_id"": ""alias_0959"", ""name"": ""돼지등뼈""}]","[[""돼지등뼈"", ""1.5"", ""kg""], [""양파"", ""1/2"", ""개""], [""감자"", ""1"", ""개""], [""대파"", ""1"", ""대""], [""배추"", ""1/2"", ""개""], [""청양고추"", ""2"", ""개""], [""깻잎"", ""10~15"", ""장""], [""고추장"", ""2"", ""큰술""], [""마늘"", ""1"", ""큰술""], [""간장"", ""3"", ""큰술""], [""고춧가루"", ""3"", ""큰술""], [""액젓"", ""3"", ""큰술""], [""생강"", ""1"", ""큰술""], [""다시다"", ""1"", ""큰술""], [""들깨가루"", ""3"", ""큰술""]]",0,[]
7016816,만두전골,"[[""만두"", ""12"", ""개""], [""청경채"", ""3"", ""개""], [""양파"", ""1/2"", ""개""], [""대파"", ""1/2"", ""개""], [""느타리버섯"", ""100"", ""g""], [""홍고추"", """", ""약간""], [""다시마"", ""4"", ""개""], [""물"", ""1"", ""l""], [""국간장"", ""2"", ""t""], [""참치 액"", ""1"", ""t""], [""다진 마늘"", ""1"", ""t""], [""통후추"", ""20"", ""바퀴""]]","[{""alias_id"": ""alias_0069"", ""name"": ""만두""}, {""alias_id"": ""alias_0613"", ""name"": ""청경채""}, {""alias_id"": ""alias_0591"", ""name"": ""양파""}, {""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0511"", ""name"": ""느타리버섯""}, {""alias_id"": ""alias_0528"", ""name"": ""홍고추""}, {""alias_id"": ""alias_0782"", ""name"": ""다시마""}, {""alias_id"": ""alias_0140"", ""name"": ""간장""}, {""alias_id"": ""alias_0038"", ""name"": ""참치액""}, {""alias_id"": ""alias_0552"", ""name"": ""마늘""}, {""alias_id"": ""alias_0232"", ""name"": ""통후추""}]","[[""만두"", ""12"", ""개""], [""청경채"", ""3"", ""개""], [""양파"", ""1/2"", ""개""], [""대파"", ""1/2"", ""개""], [""느타리버섯"", ""100"", ""g""], [""홍고추"", """", ""약간""], [""다시마"", ""4"", ""개""], [""물"", ""1"", ""l""], [""간장"", ""2"", ""큰술""], [""참치액"", ""1"", ""큰술""], [""마늘"", ""1"", ""큰술""], [""통후추"", ""20"", ""바퀴""]]",1,"[{""raw"": ""물"", ""name"": ""물"", ""amount"": ""1"", ""unit"": ""l""}]"
7016817,무수분보쌈,"[[""통삼겹살"", ""600"", ""g""], [""양파"", ""1"", ""개""], [""못난이 사과 小"", ""2"", ""개""], [""대파"", ""2"", ""대""], [""마늘"", ""8"", ""개""], [""생강가루"", """", """"], [""월계수 잎"", ""4~5"", ""장""], [""통후추"", """", ""조금""], [""맛술"", ""1/2"", ""컵""], [""설탕"", ""2"", ""t""], [""꿀"", ""2"", ""t""], [""레몬즙"", ""3"", ""t""], [""올리브유"", ""0.5"", ""t""]]","[{""alias_id"": ""alias_0843"", ""name"": ""삼겹살""}, {""alias_id"": ""alias_0591"", ""name"": ""양파""}, {""alias_id"": ""alias_0241"", ""name"": ""사과""}, {""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0552"", ""name"": ""마늘""}, {""alias_id"": ""alias_0164"", ""name"": ""생강가루""}, {""alias_id"": ""alias_0197"", ""name"": ""월계수잎""}, {""alias_id"": ""alias_0232"", ""name"": ""통후추""}, {""alias_id"": ""alias_0246"", ""name"": ""맛술""}, {""alias_id"": ""alias_0165"", ""name"": ""설탕""}, {""alias_id"": ""alias_0156"", ""name"": ""꿀""}, {""alias_id"": ""alias_0237"", ""name"": ""레몬즙""}, {""alias_id"": ""alias_0134"", ""name"": ""올리브유""}]","[[""삼겹살"", ""600"", ""g""], [""양파"", ""1"", ""개""], [""사과"", ""2"", ""개""], [""대파"", ""2"", ""대""], [""마늘"", ""8"", ""개""], [""생강가루"", """", """"], [""월계수잎"", ""4~5"", ""장""], [""통후추"", """", ""조금""], [""맛술"", ""1/2"", ""컵""], [""설탕"", ""2"", ""큰술""], [""꿀"", ""2"", ""큰술""], [""레몬즙"", ""3"", ""큰술""], [""올리브유"", ""0.5"", ""큰술""]]",0,[]
7016820,참치 카나페,"[[""참치 1캔"", ""85"", ""g""], [""마요네즈"", ""1"", ""큰술""], [""흰설탕"", ""2~3"", ""꼬집""], [""후추"", """", ""톡톡""], [""체다 슬라이스 치즈"", ""2"", ""장""], [""참크래커"", ""1~2"", ""봉지""], [""귤"", ""1"", ""개""], [""대추 방울 토마토"", ""3"", ""개""]]","[{""alias_id"": ""alias_0684"", ""name"": ""참치""}, {""alias_id"": ""alias_0103"", ""name"": ""마요네즈""}, {""alias_id"": ""alias_0165"", ""name"": ""설탕""}, {""alias_id"": ""alias_0233"", ""name"": ""후추""}, {""alias_id"": ""alias_0363"", ""name"": ""귤""}, {""alias_id"": ""alias_0620"", ""name"": ""방울토마토""}, {""alias_id"": ""alias_0895"", ""name"": ""체다치즈""}]","[[""참치"", ""85"", ""g""], [""마요네즈"", ""1"", ""큰술""], [""설탕"", ""2~3"", ""꼬집""], [""후추"", """", ""톡톡""], [""체다치즈"", ""2"", ""장""], [""크래커"", ""1~2"", ""봉지""], [""귤"", ""1"", ""개""], [""방울토마토"", ""3"", ""개""]]",1,"[{""raw"": ""참크래커"", ""name"": ""크래커"", ""amount"": ""1~2"", ""unit"": ""봉지""}]"
7016824,소고기 떡국,"[[""소고기다짐육"", ""250"", ""g""], [""국간장"", ""4"", ""큰술""], [""참기름"", ""1"", ""큰술""], [""물"", ""8"", ""컵""], [""후추"", """", ""약간""], [""대파"", ""1"", ""대""], [""떡국떡"", ""4"", ""공기""], [""조미김"", """", """"], [""깨"", """", """"]]","[{""alias_id"": ""alias_0858"", ""name"": ""소고기""}, {""alias_id"": ""alias_0140"", ""name"": ""간장""}, {""alias_id"": ""alias_0135"", ""name"": ""참기름""}, {""alias_id"": ""alias_0233"", ""name"": ""후추""}, {""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0058"", ""name"": ""떡국떡""}, {""alias_id"": ""alias_0789"", ""name"": ""조미김""}, {""alias_id"": ""alias_0452"", ""name"": ""깨""}]","[[""소고기"", ""250"", ""g""], [""간장"", ""4"", ""큰술""], [""참기름"", ""1"", ""큰술""], [""물"", ""8"", ""컵""], [""후추"", """", ""약간""], [""대파"", ""1"", ""대""], [""떡국떡"", ""4"", ""공기""], [""조미김"", """", """"], [""깨"", """", """"]]",1,"[{""raw"": ""물"", ""name"": ""물"", ""amount"": ""8"", ""unit"": ""컵""}]"
7016834,대파 간장계란밥,"[[""대파"", ""1.5"", ""대""], [""다진마늘"", ""1/2"", ""스푼""], [""계란"", ""2"", ""개""], [""들기름"", ""4~5"", ""스푼""], [""간장"", ""1"", ""스푼""], [""통깨"", """", ""약간""]]","[{""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0552"", ""name"": ""마늘""}, {""alias_id"": ""alias_0806"", ""name"": ""계란""}, {""alias_id"": ""alias_0132"", ""name"": ""들기름""}, {""alias_id"": ""alias_0140"", ""name"": ""간장""}, {""alias_id"": ""alias_0458"", ""name"": ""통깨""}]","[[""대파"", ""1.5"", ""대""], [""마늘"", ""1/2"", ""스푼""], [""계란"", ""2"", ""개""], [""들기름"", ""4~5"", ""스푼""], [""간장"", ""1"", ""스푼""], [""통깨"", """", ""약간""]]",0,[]
7016836,브라운슈가헤이즐넛라떼,"[[""인스턴트커피"", ""1"", ""t""], [""브라운슈가"", ""1"", ""t""], [""헤이즐넛시럽"", ""1"", ""t""], [""뜨거운 물"", ""1"", ""t""], [""얼음"", """", ""적당량""], [""우유"", ""120"", ""ml""]]","[{""alias_id"": ""alias_0894"", ""name"": ""우유""}, {""alias_id"": ""alias_0165"", ""name"": ""설탕""}, {""alias_id"": ""alias_1129"", ""name"": ""헤이즐넛시럽""}]","[[""커피"", ""1"", ""큰술""], [""설탕"", ""1"", ""큰술""], [""헤이즐넛시럽"", ""1"", ""큰술""], [""물"", ""1"", ""큰술""], [""얼음"", """", ""적당량""], [""우유"", ""120"", ""ml""]]",3,"[{""raw"": ""인스턴트커피"", ""name"": ""커피"", ""amount"": ""1"", ""unit"": ""큰술""}, {""raw"": ""뜨거운 물"", ""name"": ""물"", ""amount"": ""1"", ""unit"": ""큰술""}, {""raw"": ""얼음"", ""name"": ""얼음"", ""amount"": """", ""unit"": ""적당량""}]"
7016837,떡국,"[[""소고기 다짐육"", ""200"", ""g""], [""식용유"", ""2"", """"], [""표고버섯"", ""3"", ""개""], [""마른김"", ""2"", ""장""], [""떡국떡"", ""2"", ""공기""], [""다진 대파"", ""4"", """"], [""계란"", ""2"", ""개""], [""물"", ""1.5"", ""l""], [""멸치육수팩"", ""2"", ""개""], [""설탕"", ""1"", """"]]","[{""alias_id"": ""alias_0858"", ""name"": ""소고기""}, {""alias_id"": ""alias_0133"", ""name"": ""식용유""}, {""alias_id"": ""alias_0515"", ""name"": ""표고버섯""}, {""alias_id"": ""alias_0058"", ""name"": ""떡국떡""}, {""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0806"", ""name"": ""계란""}, {""alias_id"": ""alias_0711"", ""name"": ""멸치""}, {""alias_id"": ""alias_0165"", ""name"": ""설탕""}, {""alias_id"": ""alias_0779"", ""name"": ""김""}]","[[""소고기"", ""200"", ""g""], [""식용유"", ""2"", """"], [""표고버섯"", ""3"", ""개""], [""김"", ""2"", ""장""], [""떡국떡"", ""2"", ""공기""], [""대파"", ""4"", """"], [""계란"", ""2"", ""개""], [""물"", ""1.5"", ""l""], [""멸치"", ""2"", ""개""], [""설탕"", ""1"", """"]]",1,"[{""raw"": ""물"", ""name"": ""물"", ""amount"": ""1.5"", ""unit"": ""l""}]"
7016842,짜사이무침,"[[""짜사이"", ""400"", ""g""], [""대파"", ""1"", ""대""], [""맛술"", ""1"", ""큰술""], [""설탕"", ""1"", ""큰술""], [""식초"", ""1"", ""큰술""], [""참기름"", ""1/2"", ""큰술""]]","[{""alias_id"": ""alias_0626"", ""name"": ""대파""}, {""alias_id"": ""alias_0246"", ""name"": ""맛술""}, {""alias_id"": ""alias_0165"", ""name"": ""설탕""}, {""alias_id"": ""alias_0169"", ""name"": ""식초""}, {""alias_id"": ""alias_0135"", ""name"": ""참기름""}, {""alias_id"": ""alias_1154"", ""name"": ""짜사이""}]","[[""짜사이"", ""400"", ""g""], [""대파"", ""1"", ""대""], [""맛술"", ""1"", ""큰술""], [""설탕"", ""1"", ""큰술""], [""식초"", ""1"", ""큰술""], [""참기름"", ""1/2"", ""큰술""]]",0,[]
